case_id,event_position,activity_name,timestamp,user,label,anomaly_description
1623,1,Activity A,,Amanda,normal,-
1623,2,Activity C,,Vickie,normal,-
1623,3,Activity L,,Pam,normal,-
1623,4,Activity N,,Lourdes,normal,-
1623,5,Activity M,,Maryellen,normal,-
1623,6,Activity D,,James,normal,-
1623,7,Activity S,,Hoyt,normal,-
1623,8,Activity B,,Tiffiny,normal,-
1624,1,Activity A,,Joe,normal,-
1624,2,Activity BC,,Micheline,normal,-
1624,3,Activity B,,Tiffiny,normal,-
1625,1,Activity A,,Amanda,normal,-
1625,2,Activity C,,Hoyt,normal,-
1625,3,Activity L,,Doretta,normal,-
1625,4,Activity P,,Hoyt,normal,-
1625,5,Activity M,,Maryellen,normal,-
1625,6,Activity D,,James,normal,-
1625,7,Activity S,,Hoyt,normal,-
1625,8,Activity B,,Tiffiny,normal,-
1626,1,Activity A,,Sharee,normal,-
1626,2,Activity BZ,,Issac,normal,-
1626,3,Activity B,,Steve,normal,-
1627,1,Activity A,,Amanda,normal,-
1627,2,Activity C,,Hoyt,normal,-
1627,3,Activity L,,Pam,normal,-
1627,4,Activity N,,Lourdes,normal,-
1627,5,Activity M,,Maryellen,normal,-
1627,6,Activity D,,Shandi,normal,-
1627,7,Activity S,,Brian,normal,-
1627,8,Activity B,,Ronald,normal,-
1628,1,Activity A,,Joe,normal,-
1628,2,Activity BC,,Micheline,normal,-
1628,3,Activity B,,Grayce,normal,-
1629,1,Activity BZ,,Issac,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
1629,2,Activity A,,Sharee,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
1629,3,Activity B,,Elisha,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
1630,1,Activity A,,Micheline,normal,-
1630,2,Activity T,,Steve,normal,-
1630,3,Activity AC,,Pam,normal,-
1630,4,Activity AF,,Sharee,normal,-
1630,5,Activity AD,,Brant,normal,-
1630,6,Activity U,,Junior,normal,-
1630,7,Activity B,,Rossie,normal,-
1631,1,Activity A,,Joe,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1631,2,Activity BC,,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1631,3,Activity B,,Tiffiny,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1631,4,Activity A,,Joe,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1631,5,Activity BC,,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1632,1,Activity A,,Joe,normal,-
1632,2,Activity BC,,Micheline,normal,-
1632,3,Activity B,,Tiffiny,normal,-
1633,1,Activity BC,,Micheline,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}]}"
1633,2,Activity B,,Tiffiny,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}]}"
1634,1,Activity A,,Seth,normal,-
1634,2,Activity BC,,Micheline,normal,-
1634,3,Activity B,,Tiffiny,normal,-
1635,1,Activity A,,Micheline,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,2,Activity BD,,Junior,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,3,Activity BJ,,Johnny,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,4,Activity BN,,Hassie,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,5,Activity BK,,Elisha,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,6,Activity BE,,Craig,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,7,Activity BQ,,Frances,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,8,Activity BR,,Chan,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,9,Activity BT,,Sigrid,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,10,Activity BS,,Junior,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,11,Activity BE,,Craig,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,12,Activity BQ,,Frances,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1635,13,Activity B,,Brant,anomalous,"{'size': 2, 'start': 10, 'inserted': [{'name': 'Activity BE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig'}}, {'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
1636,1,Activity A,,Doretta,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,2,Activity C,,Vickie,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,3,Activity L,,Pam,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,4,Activity N,,Lourdes,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,5,Activity M,,Jack,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,6,Activity D,,Issac,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,7,Activity S,,Ryan,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,8,Activity B,,Deloras,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,9,Activity D,,Issac,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1636,10,Activity S,,Ryan,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
1637,1,Activity A,,Carmella,normal,-
1637,2,Activity BC,,Micheline,normal,-
1637,3,Activity B,,Tiffiny,normal,-
1638,1,Activity A,,Joe,normal,-
1638,2,Activity BC,,Micheline,normal,-
1638,3,Activity B,,Tiffiny,normal,-
1639,1,Activity A,,Doretta,normal,-
1639,2,Activity C,,Lisa,normal,-
1639,3,Activity E,,Donald,normal,-
1639,4,Activity F,,Keven,normal,-
1639,5,Activity D,,Hassie,normal,-
1639,6,Activity S,,Velda,normal,-
1639,7,Activity B,,Tiffiny,normal,-
1640,1,Activity A,,Joe,normal,-
1640,2,Activity BC,,Micheline,normal,-
1640,3,Activity B,,Tiffiny,normal,-
1641,1,Activity A,,Joe,normal,-
1641,2,Activity BC,,Micheline,normal,-
1641,3,Activity B,,Tiffiny,normal,-
1642,1,Activity A,,Seth,normal,-
1642,2,Activity BC,,Micheline,normal,-
1642,3,Activity B,,Tiffiny,normal,-
1643,1,Activity A,,Joe,normal,-
1643,2,Activity BC,,Micheline,normal,-
1643,3,Activity B,,Tiffiny,normal,-
1644,1,Activity A,,Micheline,normal,-
1644,2,Activity BD,,Ling,normal,-
1644,3,Activity BH,,Donald,normal,-
1644,4,Activity BI,,Jin,normal,-
1644,5,Activity BE,,Craig,normal,-
1644,6,Activity BQ,,Frances,normal,-
1644,7,Activity BR,,Seth,normal,-
1644,8,Activity BY,,Vickie,normal,-
1644,9,Activity BS,,Junior,normal,-
1644,10,Activity B,,Rossana,normal,-
1645,1,Activity A,,Chan,normal,-
1645,2,Activity BD,,Brian,normal,-
1645,3,Activity BH,,Alpha,normal,-
1645,4,Activity BI,,Evelin,normal,-
1645,5,Activity BE,,Craig,normal,-
1645,6,Activity BQ,,Frances,normal,-
1645,7,Activity BR,,Joe,normal,-
1645,8,Activity BU,,Melany,normal,-
1645,9,Activity BS,,Hassie,normal,-
1645,10,Activity B,,Sherlene,normal,-
1646,1,Activity A,,Chan,normal,-
1646,2,Activity BD,,Brian,normal,-
1646,3,Activity BH,,Alpha,normal,-
1646,4,Activity BI,,Evelin,normal,-
1646,5,Activity BE,,Craig,normal,-
1646,6,Activity BQ,,Frances,normal,-
1646,7,Activity BR,,Earl,normal,-
1646,8,Activity BW,,Ling,normal,-
1646,9,Activity BS,,Roseanne,normal,-
1646,10,Activity B,,Velda,normal,-
1647,1,Activity D,,Sandra,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,2,Activity S,,Brian,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,3,Activity A,,Steve,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,4,Activity C,,Hoyt,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,5,Activity L,,Pam,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,6,Activity N,,Paul,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,7,Activity M,,Jack,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1647,8,Activity B,,Ronald,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1648,1,Activity A,,Doretta,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,2,Activity C,,Lucy,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,3,Activity S,,Gema,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,4,Activity L,,Doretta,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,5,Activity P,,Hoyt,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,6,Activity M,,Maryellen,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,7,Activity D,,Shandi,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1648,8,Activity B,,Ronald,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1649,1,Activity A,,Steve,anomalous,{'indices': [4]}
1649,2,Activity C,,Ronald,anomalous,{'indices': [4]}
1649,3,Activity G,,Alyce,anomalous,{'indices': [4]}
1649,4,Activity I,,Lannie,anomalous,{'indices': [4]}
1649,5,Random activity 72,,Random user 64,anomalous,{'indices': [4]}
1649,6,Activity H,,Josef,anomalous,{'indices': [4]}
1649,7,Activity D,,Issac,anomalous,{'indices': [4]}
1649,8,Activity S,,Ryan,anomalous,{'indices': [4]}
1649,9,Activity B,,Deloras,anomalous,{'indices': [4]}
1650,1,Activity A,,Sharee,normal,-
1650,2,Activity BZ,,Issac,normal,-
1650,3,Activity B,,Elisha,normal,-
1651,1,Activity A,,Joe,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1651,2,Activity BC,,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1651,3,Activity B,,Deloras,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1651,4,Activity BC,,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1651,5,Activity B,,Deloras,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1652,1,Activity A,,Micheline,normal,-
1652,2,Activity BD,,Junior,normal,-
1652,3,Activity BJ,,Donald,normal,-
1652,4,Activity BN,,Hassie,normal,-
1652,5,Activity BK,,Elisha,normal,-
1652,6,Activity BE,,Craig,normal,-
1652,7,Activity BQ,,Frances,normal,-
1652,8,Activity BR,,Della,normal,-
1652,9,Activity BX,,Brant,normal,-
1652,10,Activity BS,,Earl,normal,-
1652,11,Activity B,,Deloras,normal,-
1653,1,Activity B,,Deloras,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1654,1,Activity A,,Jin,normal,-
1654,2,Activity T,,Grayce,normal,-
1654,3,Activity AC,,Pam,normal,-
1654,4,Activity AF,,Sharee,normal,-
1654,5,Activity AD,,Brant,normal,-
1654,6,Activity U,,Sonia,normal,-
1654,7,Activity B,,Ronald,normal,-
1655,1,Activity A,,Chan,normal,-
1655,2,Activity BD,,Lisa,normal,-
1655,3,Activity BP,,Carmella,normal,-
1655,4,Activity BE,,Lisa,normal,-
1655,5,Activity BQ,,Jamika,normal,-
1655,6,Activity BR,,Earl,normal,-
1655,7,Activity BU,,Clayton,normal,-
1655,8,Activity BS,,James,normal,-
1655,9,Activity B,,Paul,normal,-
1656,1,Activity A,,Steve,normal,-
1656,2,Activity C,,Della,normal,-
1656,3,Activity G,,Alyce,normal,-
1656,4,Activity I,,Lannie,normal,-
1656,5,Activity H,,Keven,normal,-
1656,6,Activity D,,Hassie,normal,-
1656,7,Activity S,,Velda,normal,-
1656,8,Activity B,,Tiffiny,normal,-
1657,1,Activity A,,Carmella,normal,-
1657,2,Activity BC,,Micheline,normal,-
1657,3,Activity B,,Tiffiny,normal,-
1658,1,Activity A,,Sharee,normal,-
1658,2,Activity BZ,,Frances,normal,-
1658,3,Activity B,,Steve,normal,-
1659,1,Activity A,,Chan,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,2,Activity BD,,Evelin,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,3,Activity BF,,Evelin,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,4,Activity BG,,Jamika,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,5,Activity BE,,Craig,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,6,Activity BQ,,Frances,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,7,Activity BR,,Paul,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,8,Activity BU,,Iluminada,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,9,Activity BS,,Sandra,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,10,Activity BQ,,Frances,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,11,Activity BR,,Paul,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1659,12,Activity B,,James,anomalous,"{'size': 2, 'start': 9, 'inserted': [{'name': 'Activity BQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity BR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
1660,1,Activity A,,Micheline,normal,-
1660,2,Activity BD,,Brian,normal,-
1660,3,Activity BH,,Donald,normal,-
1660,4,Activity BI,,Jin,normal,-
1660,5,Activity BE,,Gema,normal,-
1660,6,Activity BQ,,Frances,normal,-
1660,7,Activity BR,,Seth,normal,-
1660,8,Activity BY,,Vickie,normal,-
1660,9,Activity BS,,James,normal,-
1660,10,Activity B,,Donald,normal,-
1661,1,Activity A,,Amanda,normal,-
1661,2,Activity C,,Seth,normal,-
1661,3,Activity L,,Pam,normal,-
1661,4,Activity N,,Vickie,normal,-
1661,5,Activity M,,Maryellen,normal,-
1661,6,Activity D,,Shandi,normal,-
1661,7,Activity S,,Gema,normal,-
1661,8,Activity B,,Ronald,normal,-
1662,1,Activity A,,Chan,normal,-
1662,2,Activity BD,,Junior,normal,-
1662,3,Activity BJ,,Johnny,normal,-
1662,4,Activity BN,,Hassie,normal,-
1662,5,Activity BK,,Elisha,normal,-
1662,6,Activity BE,,Craig,normal,-
1662,7,Activity BQ,,Frances,normal,-
1662,8,Activity BR,,Chan,normal,-
1662,9,Activity BU,,Melany,normal,-
1662,10,Activity BS,,Lourdes,normal,-
1662,11,Activity B,,Rossana,normal,-
1663,1,Activity BC,,Micheline,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1663,2,Activity A,,Joe,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1663,3,Activity B,,Tiffiny,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1664,1,Activity A,,Seth,normal,-
1664,2,Activity BC,,Micheline,normal,-
1664,3,Activity B,,Tiffiny,normal,-
1665,1,Random activity 43,,Random user 23,anomalous,"{'indices': [0, 4]}"
1665,2,Activity A,,Micheline,anomalous,"{'indices': [0, 4]}"
