case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1571,1,Activity A,,Friday,Junior,normal,-
1571,2,Activity T,,Monday,Hoyt,normal,-
1571,3,Activity AK,,Wednesday,Clayton,normal,-
1571,4,Activity AL,,Thursday,Rossie,normal,-
1571,5,Activity AM,,Tuesday,Emily,normal,-
1571,6,Activity U,,Wednesday,Sandra,normal,-
1571,7,Activity B,,Thursday,Hassie,normal,-
1572,1,Activity A,,Monday,Micheline,normal,-
1572,2,Activity BC,,Thursday,Ling,normal,-
1572,3,Activity B,,Tuesday,Jin,normal,-
1573,1,Activity A,,Tuesday,Gema,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Gema', 'day': 'Tuesday'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roseanne', 'day': 'Friday'}}]}"
1573,2,Activity BZ,,Friday,Roseanne,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Gema', 'day': 'Tuesday'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roseanne', 'day': 'Friday'}}]}"
1573,3,Activity A,,Tuesday,Gema,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Gema', 'day': 'Tuesday'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roseanne', 'day': 'Friday'}}]}"
1573,4,Activity BZ,,Friday,Roseanne,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Gema', 'day': 'Tuesday'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roseanne', 'day': 'Friday'}}]}"
1573,5,Activity B,,Thursday,Iluminada,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Gema', 'day': 'Tuesday'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roseanne', 'day': 'Friday'}}]}"
1574,1,Activity A,,Wednesday,Deloras,normal,-
1574,2,Activity C,,Monday,Emily,normal,-
1574,3,Activity L,,Friday,Keven,normal,-
1574,4,Activity Q,,Thursday,Ronald,normal,-
1574,5,Activity M,,Monday,James,normal,-
1574,6,Activity D,,Tuesday,Sandra,normal,-
1574,7,Activity S,,Thursday,Frances,normal,-
1574,8,Activity B,,Thursday,Keven,normal,-
1575,1,Activity A,,Friday,Junior,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
1575,2,Activity T,,Monday,Della,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
1575,3,Activity AN,,Thursday,Sherell,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
1575,4,Activity AS,,Thursday,Ling,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
1575,5,Activity AY,,Thursday,Sherlene,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
1575,6,Activity U,,Thursday,Steve,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
1575,7,Activity B,,Wednesday,Ling,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity AT', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald', 'day': 'Friday'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi', 'day': 'Wednesday'}}]}"
