case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1654,1,Activity A,,French Polynesia,Tuesday,Sherell,normal,-
1654,2,Activity C,,Nigeria,Wednesday,Sharee,normal,-
1654,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1654,4,Activity F,,San Marino,Thursday,Emily,normal,-
1654,5,Activity D,,Luxembourg,Thursday,Gema,normal,-
1654,6,Activity S,,Nepal,Friday,Steve,normal,-
1654,7,Activity B,,Somalia,Thursday,Seth,normal,-
1655,1,Activity A,,Myanmar,Tuesday,Sherell,normal,-
1655,2,Activity C,,Ireland,Wednesday,Wilton,normal,-
1655,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Micheline,normal,-
1655,4,Activity F,,San Marino,Tuesday,Elisha,normal,-
1655,5,Activity D,,Luxembourg,Monday,Shandi,normal,-
1655,6,Activity S,,Nepal,Friday,Steve,normal,-
1655,7,Activity B,,Kyrgyzstan,Thursday,Seth,normal,-
1656,1,Activity A,,Angola,Tuesday,Clayton,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1656,2,Activity C,,Philippines,Monday,James,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1656,3,Activity G,,Cayman Islands,Tuesday,Josef,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1656,4,Activity I,,Saint Lucia,Tuesday,Emily,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1656,5,Activity H,,Bouvet Island,Friday,Clayton,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1656,6,Activity S,,Fiji,Friday,Wilton,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1656,7,Activity B,,Indonesia,Monday,Frances,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lisa', 'day': 'Thursday', 'country': 'Congo'}}]}"
1657,1,Activity A,,Nigeria,Monday,Jimmy,normal,-
1657,2,Activity T,,American Samoa,Monday,Junior,normal,-
1657,3,Activity AN,,Bangladesh,Tuesday,Roy,normal,-
1657,4,Activity BA,,Bahamas,Thursday,Roseanne,normal,-
1657,5,Activity BB,,Malta,Monday,Ling,normal,-
1657,6,Activity AO,,Palau,Monday,Sherell,normal,-
1657,7,Activity U,,Macao,Tuesday,Deloras,normal,-
1657,8,Activity B,,Mali,Friday,Donald,normal,-
1658,1,Activity A,,Iraq,Friday,Jimmy,normal,-
1658,2,Activity T,,Puerto Rico,Friday,Joe,normal,-
1658,3,Activity AN,,Peru,Wednesday,Shandi,normal,-
1658,4,Activity AQ,,Grenada,Monday,Paul,normal,-
1658,5,Activity AR,,Czech Republic,Thursday,Josef,normal,-
1658,6,Activity AO,,Czech Republic,Thursday,Hugo,normal,-
1658,7,Activity U,,Macedonia,Monday,Evelin,normal,-
1658,8,Activity B,,Gibraltar,Tuesday,Shandi,normal,-
1659,1,Activity A,,Myanmar,Tuesday,Sherell,normal,-
1659,2,Activity C,,Fiji,Monday,Maryellen,normal,-
1659,3,Activity G,,Mauritania,Tuesday,Alyce,normal,-
1659,4,Activity K,,Afghanistan,Friday,Evelin,normal,-
1659,5,Activity H,,Bouvet Island,Wednesday,Clayton,normal,-
1659,6,Activity D,,Botswana,Wednesday,Amanda,normal,-
1659,7,Activity S,,Nepal,Tuesday,Ryan,normal,-
1659,8,Activity B,,Kyrgyzstan,Thursday,Seth,normal,-
1660,1,Activity A,,Nigeria,Friday,Jimmy,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,2,Activity T,,American Samoa,Thursday,Joe,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,3,Activity AN,,Peru,Wednesday,Elisha,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,4,Activity AQ,,Grenada,Monday,Paul,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,5,Activity AR,,Czech Republic,Tuesday,Steve,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,6,Activity AO,,Christmas Island,Wednesday,Sigrid,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,7,Activity U,,Guatemala,Wednesday,Michaele,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1660,8,Activity B,,Indonesia,Monday,Frances,anomalous,"{'index': [1, 5], 'attribute_index': [1, 1], 'attribute': ['day', 'day'], 'original': ['Tuesday', 'Friday']}"
1661,1,Activity A,,Myanmar,Monday,Clayton,normal,-
1661,2,Activity C,,Ireland,Wednesday,Howard,normal,-
1661,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1661,4,Activity F,,San Marino,Thursday,Emily,normal,-
1661,5,Activity D,,Luxembourg,Thursday,Shandi,normal,-
1661,6,Activity S,,Fiji,Friday,Wilton,normal,-
1661,7,Activity B,,Indonesia,Monday,Gema,normal,-
1662,1,Activity A,,Papua New Guinea,Wednesday,Alyce,normal,-
1662,2,Activity BD,,Mali,Wednesday,Deloras,normal,-
1662,3,Activity BO,,Anguilla,Thursday,Ronald,normal,-
1662,4,Activity BE,,Suriname,Monday,Emily,normal,-
1662,5,Activity BQ,,Saint Lucia,Wednesday,Maryellen,normal,-
1662,6,Activity BR,,Barbados,Wednesday,Charles,normal,-
1662,7,Activity BX,,Portugal,Wednesday,Lucy,normal,-
1662,8,Activity BS,,Benin,Wednesday,Ryan,normal,-
1662,9,Activity B,,Brazil,Friday,Seth,normal,-
1663,1,Activity A,,Myanmar,Monday,Clayton,normal,-
1663,2,Activity C,,Nigeria,Friday,Michaele,normal,-
1663,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1663,4,Activity F,,San Marino,Thursday,Emily,normal,-
1663,5,Activity D,,Luxembourg,Thursday,Gema,normal,-
1663,6,Activity S,,Antigua And Barbuda,Monday,Pam,normal,-
1663,7,Activity B,,Germany,Thursday,Lourdes,normal,-
1664,1,Activity A,,Papua New Guinea,Wednesday,Alyce,normal,-
1664,2,Activity BD,,Saint Helena,Thursday,Pam,normal,-
1664,3,Activity BJ,,Mauritius,Thursday,Wilton,normal,-
1664,4,Activity BM,,Yemen,Wednesday,Sonia,normal,-
1664,5,Activity BK,,Comoros,Thursday,Tiffiny,normal,-
1664,6,Activity BE,,Suriname,Monday,Emily,normal,-
1664,7,Activity BQ,,Congo,Wednesday,Gema,normal,-
1664,8,Activity BR,,Austria,Thursday,Earl,normal,-
1664,9,Activity BW,,El Salvador,Friday,Michaele,normal,-
1664,10,Activity BS,,New Caledonia,Friday,Johnny,normal,-
1664,11,Activity B,,British Indian Ocean Territory,Tuesday,Jin,normal,-
1665,1,Activity A,,Papua New Guinea,Wednesday,Alyce,normal,-
1665,2,Activity BD,,Cocos (Keeling) Islands,Friday,Deloras,normal,-
1665,3,Activity BF,,Tokelau,Tuesday,Issac,normal,-
1665,4,Activity BG,,Uzbekistan,Monday,Tiffiny,normal,-
1665,5,Activity BE,,Sierra Leone,Monday,Brant,normal,-
1665,6,Activity BQ,,Moldova,Monday,Gema,normal,-
1665,7,Activity BR,,Egypt,Tuesday,Brian,normal,-
1665,8,Activity BY,,Canada,Tuesday,Sherlene,normal,-
1665,9,Activity BS,,Liberia,Monday,Grayce,normal,-
1665,10,Activity B,,Kyrgyzstan,Thursday,Seth,normal,-
1666,1,Activity A,,Iraq,Friday,Jimmy,normal,-
1666,2,Activity T,,Congo,Friday,Hugo,normal,-
1666,3,Activity AC,,Martinique,Tuesday,Lourdes,normal,-
1666,4,Activity AF,,"Virgin Islands, U.S.",Monday,Josef,normal,-
1666,5,Activity AD,,Guinea-Bissau,Thursday,Maryellen,normal,-
1666,6,Activity U,,Burundi,Monday,Ryan,normal,-
1666,7,Activity B,,Japan,Tuesday,Hugo,normal,-
1667,1,Activity A,,Papua New Guinea,Wednesday,Alyce,normal,-
1667,2,Activity BD,,Mali,Friday,Hannah,normal,-
1667,3,Activity BO,,Anguilla,Thursday,Ronald,normal,-
1667,4,Activity BE,,Suriname,Tuesday,Amanda,normal,-
1667,5,Activity BQ,,Congo,Monday,James,normal,-
1667,6,Activity BR,,Lao People's Democratic Republic,Wednesday,Charles,normal,-
1667,7,Activity BX,,Kuwait,Thursday,Junior,normal,-
1667,8,Activity BS,,Serbia,Tuesday,Junior,normal,-
1667,9,Activity B,,Namibia,Wednesday,Micheline,normal,-
1668,1,Activity A,,Angola,Tuesday,Clayton,anomalous,{'indices': [5]}
1668,2,Activity C,,Guam,Wednesday,James,anomalous,{'indices': [5]}
1668,3,Activity L,,United Kingdom,Friday,Howard,anomalous,{'indices': [5]}
1668,4,Activity P,,Montserrat,Tuesday,Deloras,anomalous,{'indices': [5]}
1668,5,Activity M,,Puerto Rico,Tuesday,Alyce,anomalous,{'indices': [5]}
1668,6,Random activity 50,,Random country 196,Random day 4,Random user 39,anomalous,{'indices': [5]}
1668,7,Activity D,,Guam,Friday,Melany,anomalous,{'indices': [5]}
1668,8,Activity S,,Jamaica,Wednesday,Hugo,anomalous,{'indices': [5]}
1668,9,Activity B,,"Virgin Islands, British",Tuesday,Ryan,anomalous,{'indices': [5]}
1669,1,Activity A,,France,Friday,Hoyt,anomalous,"{'index': [0, 0, 1, 1, 2, 2], 'attribute_index': [2, 0, 2, 0, 2, 0], 'attribute': ['user', 'country', 'user', 'country', 'user', 'country'], 'original': ['Josef', 'Sweden', 'Emily', 'Bahamas', 'Ling', 'Japan']}"
1669,2,Activity BC,,Djibouti,Thursday,Sherlene,anomalous,"{'index': [0, 0, 1, 1, 2, 2], 'attribute_index': [2, 0, 2, 0, 2, 0], 'attribute': ['user', 'country', 'user', 'country', 'user', 'country'], 'original': ['Josef', 'Sweden', 'Emily', 'Bahamas', 'Ling', 'Japan']}"
1669,3,Activity B,,Comoros,Wednesday,Velda,anomalous,"{'index': [0, 0, 1, 1, 2, 2], 'attribute_index': [2, 0, 2, 0, 2, 0], 'attribute': ['user', 'country', 'user', 'country', 'user', 'country'], 'original': ['Josef', 'Sweden', 'Emily', 'Bahamas', 'Ling', 'Japan']}"
1670,1,Activity A,,Myanmar,Monday,Clayton,normal,-
1670,2,Activity C,,Cape Verde,Wednesday,Junior,normal,-
1670,3,Activity L,,Nepal,Wednesday,Roy,normal,-
1670,4,Activity N,,Botswana,Friday,Howard,normal,-
1670,5,Activity M,,Finland,Thursday,Emily,normal,-
1670,6,Activity D,,Reunion,Monday,Gema,normal,-
1670,7,Activity S,,Nepal,Friday,Steve,normal,-
1670,8,Activity B,,Kyrgyzstan,Thursday,Seth,normal,-
1671,1,Activity A,,Iraq,Friday,Jimmy,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,2,Activity AN,,Bangladesh,Tuesday,Roy,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,3,Activity BA,,Bahamas,Wednesday,Junior,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,4,Activity BB,,Malta,Friday,Ling,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,5,Activity AO,,Czech Republic,Thursday,Hugo,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,6,Activity T,,Puerto Rico,Monday,Junior,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,7,Activity U,,Macedonia,Thursday,Hoyt,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1671,8,Activity B,,Japan,Wednesday,Shandi,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1672,1,Activity A,,Sweden,Tuesday,Elisha,anomalous,{'indices': [1]}
1672,2,Random activity 33,,Random country 162,Random day 3,Random user 45,anomalous,{'indices': [1]}
1672,3,Activity BZ,,Paraguay,Thursday,Alyce,anomalous,{'indices': [1]}
1672,4,Activity B,,Mali,Friday,Evelin,anomalous,{'indices': [1]}
1673,1,Activity A,,Iraq,Monday,Jimmy,normal,-
1673,2,Activity T,,Kyrgyzstan,Wednesday,Alyce,normal,-
1673,3,Activity AK,,"Congo, Democratic Republic",Thursday,Issac,normal,-
1673,4,Activity AL,,Niger,Thursday,Lisa,normal,-
1673,5,Activity AM,,United Kingdom,Wednesday,Michaele,normal,-
1673,6,Activity U,,Nauru,Thursday,Sherlene,normal,-
1673,7,Activity B,,Japan,Tuesday,Hugo,normal,-
1674,1,Activity A,,Djibouti,Wednesday,Elisha,anomalous,"{'index': [0, 1], 'attribute_index': [0, 1], 'attribute': ['country', 'day'], 'original': ['Sweden', 'Tuesday']}"
1674,2,Activity BZ,,Paraguay,Wednesday,Grayce,anomalous,"{'index': [0, 1], 'attribute_index': [0, 1], 'attribute': ['country', 'day'], 'original': ['Sweden', 'Tuesday']}"
1674,3,Activity B,,Mali,Friday,Evelin,anomalous,"{'index': [0, 1], 'attribute_index': [0, 1], 'attribute': ['country', 'day'], 'original': ['Sweden', 'Tuesday']}"
1675,1,Activity A,,Myanmar,Monday,Clayton,normal,-
1675,2,Activity C,,Switzerland,Monday,Howard,normal,-
1675,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Micheline,normal,-
1675,4,Activity F,,San Marino,Tuesday,Elisha,normal,-
1675,5,Activity D,,Luxembourg,Thursday,Gema,normal,-
1675,6,Activity S,,Nepal,Tuesday,Ryan,normal,-
1675,7,Activity B,,Kyrgyzstan,Thursday,Seth,normal,-
1676,1,Activity A,,Sweden,Tuesday,Maryellen,anomalous,"{'index': [0, 1, 2, 2], 'attribute_index': [2, 1, 2, 1], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Elisha', 'Tuesday', 'Evelin', 'Friday']}"
1676,2,Activity BZ,,American Samoa,Monday,Grayce,anomalous,"{'index': [0, 1, 2, 2], 'attribute_index': [2, 1, 2, 1], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Elisha', 'Tuesday', 'Evelin', 'Friday']}"
1676,3,Activity B,,Mali,Sunday,Frances,anomalous,"{'index': [0, 1, 2, 2], 'attribute_index': [2, 1, 2, 1], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Elisha', 'Tuesday', 'Evelin', 'Friday']}"
1677,1,Activity A,,Norway,Tuesday,Sherell,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1677,2,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Micheline,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1677,3,Activity F,,San Marino,Tuesday,Elisha,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1677,4,Activity D,,Luxembourg,Thursday,Gema,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1677,5,Activity S,,Nepal,Friday,Steve,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1677,6,Activity C,,Nigeria,Monday,Wilton,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
