case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1644,1,Activity A,,Labdrill,Gibraltar,Monday,Seth,normal,-
1644,2,Activity T,,Golddex,Mayotte,Wednesday,Sharee,normal,-
1644,3,Activity AN,,Gogozoom,Kazakhstan,Thursday,Emily,normal,-
1644,4,Activity AS,,Bioholding,Venezuela,Monday,Lucy,normal,-
1644,5,Activity AZ,,Domzoom,Togo,Monday,Paul,normal,-
1644,6,Activity AT,,Xx-holding,Saint Pierre And Miquelon,Monday,Clayton,normal,-
1644,7,Activity AO,,Green-Plus,Costa Rica,Monday,Hugo,normal,-
1644,8,Activity U,,Newex,Sao Tome And Principe,Tuesday,Carmella,normal,-
1644,9,Activity B,,Betatech,France,Tuesday,Hannah,normal,-
1645,1,Activity A,,Golddex,Pakistan,Tuesday,Clayton,normal,-
1645,2,Activity BZ,,J-Texon,Slovakia,Tuesday,Keven,normal,-
1645,3,Activity B,,Hottechi,Norway,Thursday,Jamika,normal,-
1646,1,Activity A,,Labdrill,Gibraltar,Friday,Seth,normal,-
1646,2,Activity T,,Golddex,Mayotte,Tuesday,Sharee,normal,-
1646,3,Activity AN,,Gogozoom,Kazakhstan,Thursday,Emily,normal,-
1646,4,Activity AS,,Plusstrip,Central African Republic,Tuesday,Lucy,normal,-
1646,5,Activity AZ,,Donware,Togo,Monday,Paul,normal,-
1646,6,Activity AT,,Hatfan,Svalbard And Jan Mayen,Thursday,Doretta,normal,-
1646,7,Activity AO,,Xx-zobam,Uganda,Monday,Frances,normal,-
1646,8,Activity U,,Plussunin,New Caledonia,Wednesday,Howard,normal,-
1646,9,Activity B,,Stanredtax,El Salvador,Thursday,Howard,normal,-
1647,1,Activity A,,Codehow,Sri Lanka,Friday,Hassie,normal,-
1647,2,Activity C,,Stanredtax,Namibia,Wednesday,Sherell,normal,-
1647,3,Activity R,,Rantouch,Central African Republic,Thursday,Carmella,normal,-
1647,4,Activity D,,Doncon,Malta,Monday,Alyce,normal,-
1647,5,Activity S,,Plusstrip,Thailand,Tuesday,Brant,normal,-
1647,6,Activity B,,Betatech,France,Tuesday,Hannah,normal,-
1648,1,Activity A,,Labdrill,Togo,Friday,Seth,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,2,Activity BA,,Conecom,Gabon,Friday,Velda,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,3,Activity BB,,Hatfan,Bermuda,Wednesday,Clayton,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,4,Activity T,,Hottechi,Mayotte,Tuesday,Sharee,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,5,Activity AN,,Treequote,Botswana,Thursday,Brant,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,6,Activity AO,,Zencorporation,United Kingdom,Friday,Alpha,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,7,Activity U,,Toughzap,Bouvet Island,Thursday,Maryellen,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1648,8,Activity B,,Stanredtax,El Salvador,Thursday,Howard,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1649,1,Activity T,,Hottechi,Mayotte,Tuesday,Sharee,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth', 'day': 'Friday', 'country': 'Gibraltar', 'company': 'Labdrill'}}]}"
1649,2,Activity AN,,Nam-zim,Faroe Islands,Monday,Jimmy,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth', 'day': 'Friday', 'country': 'Gibraltar', 'company': 'Labdrill'}}]}"
1649,3,Activity AP,,Newex,Mozambique,Thursday,Sonia,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth', 'day': 'Friday', 'country': 'Gibraltar', 'company': 'Labdrill'}}]}"
1649,4,Activity AO,,Stanredtax,Antarctica,Tuesday,Rossie,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth', 'day': 'Friday', 'country': 'Gibraltar', 'company': 'Labdrill'}}]}"
1649,5,Activity U,,Openlane,Sao Tome And Principe,Tuesday,Carmella,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth', 'day': 'Friday', 'country': 'Gibraltar', 'company': 'Labdrill'}}]}"
