case_id,event_position,activity_name,timestamp,user,label,anomaly_description
1595,1,Activity A,,Steve,normal,-
1595,2,Activity C,,Hannah,normal,-
1595,3,Activity D,,Hugo,normal,-
1595,4,Activity E,,Lannie,normal,-
1595,5,Activity H,,Deloras,normal,-
1595,6,Activity F,,Ronald,normal,-
1595,7,Activity J,,Tiffiny,normal,-
1595,8,Activity K,,Issac,normal,-
1595,9,Activity B,,Alyce,normal,-
1596,1,Activity D,,Hugo,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1596,2,Activity E,,Keven,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1596,3,Activity G,,Issac,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1596,4,Activity F,,Jimmy,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1596,5,Activity J,,Tiffiny,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1596,6,Activity K,,Ryan,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1596,7,Activity B,,Alyce,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hannah'}}]}"
1597,1,Activity A,,Steve,normal,-
1597,2,Activity C,,Hannah,normal,-
1597,3,Activity D,,Hugo,normal,-
1597,4,Activity E,,Lannie,normal,-
1597,5,Activity H,,Deloras,normal,-
1597,6,Activity F,,Ronald,normal,-
1597,7,Activity J,,Tiffiny,normal,-
1597,8,Activity K,,Ryan,normal,-
1597,9,Activity B,,Alyce,normal,-
1598,1,Activity A,,Velda,normal,-
1598,2,Activity AI,,Sandra,normal,-
1598,3,Activity AP,,Chan,normal,-
1598,4,Activity AQ,,Jamika,normal,-
1598,5,Activity AR,,Lucy,normal,-
1598,6,Activity AS,,Clayton,normal,-
1598,7,Activity AJ,,Vickie,normal,-
1598,8,Activity B,,Micheline,normal,-
1599,1,Activity A,,Amanda,normal,-
1599,2,Activity C,,Hannah,normal,-
1599,3,Activity D,,Hugo,normal,-
1599,4,Activity E,,Lannie,normal,-
1599,5,Activity H,,James,normal,-
1599,6,Activity F,,Ronald,normal,-
1599,7,Activity J,,Tiffiny,normal,-
1599,8,Activity K,,Ryan,normal,-
1599,9,Activity B,,Alyce,normal,-
1600,1,Activity A,,Ronald,normal,-
1600,2,Activity AI,,Sharee,normal,-
1600,3,Activity AL,,Rossana,normal,-
1600,4,Activity AM,,Marilyn,normal,-
1600,5,Activity AN,,Iluminada,normal,-
1600,6,Activity AO,,Evelin,normal,-
1600,7,Activity AJ,,Ling,normal,-
1600,8,Activity B,,Brant,normal,-
1601,1,Activity A,,Micheline,anomalous,"{'size': 3, 'start': 10, 'inserted': [{'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}, {'name': 'Activity X', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1601,2,Activity L,,Howard,anomalous,"{'size': 3, 'start': 10, 'inserted': [{'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}, {'name': 'Activity X', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1601,3,Activity N,,Issac,anomalous,"{'size': 3, 'start': 10, 'inserted': [{'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}, {'name': 'Activity X', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1601,4,Activity M,,Steve,anomalous,"{'size': 3, 'start': 10, 'inserted': [{'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}, {'name': 'Activity X', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
1601,5,Activity R,,Lannie,anomalous,"{'size': 3, 'start': 10, 'inserted': [{'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}, {'name': 'Activity X', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Deloras'}}]}"
