case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1593,1,Activity A,,Thursday,Clayton,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1593,2,Activity AI,,Friday,Della,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1593,3,Activity A,,Thursday,Clayton,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1593,4,Activity AI,,Friday,Della,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1593,5,Activity AK,,Friday,Sandra,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1593,6,Activity AJ,,Thursday,Jack,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1593,7,Activity B,,Wednesday,Alpha,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Clayton', 'day': 'Thursday'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Friday'}}]}"
1594,1,Activity A,,Monday,Clayton,normal,-
1594,2,Activity AI,,Thursday,Jack,normal,-
1594,3,Activity AP,,Tuesday,Jamika,normal,-
1594,4,Activity AQ,,Friday,Lucy,normal,-
1594,5,Activity AR,,Friday,Sonia,normal,-
1594,6,Activity AS,,Wednesday,Earl,normal,-
1594,7,Activity AJ,,Friday,Hannah,normal,-
1594,8,Activity B,,Friday,Amanda,normal,-
1595,1,Activity A,,Friday,Alpha,normal,-
1595,2,Activity AT,,Wednesday,Sonia,normal,-
1595,3,Activity AX,,Friday,Gema,normal,-
1595,4,Activity AU,,Tuesday,Lucy,normal,-
1595,5,Activity B,,Monday,Lucy,normal,-
1596,1,Activity A,,Friday,Amanda,normal,-
1596,2,Activity AI,,Thursday,Alpha,normal,-
1596,3,Activity AP,,Tuesday,Jamika,normal,-
1596,4,Activity AQ,,Friday,Lucy,normal,-
1596,5,Activity AR,,Friday,Hassie,normal,-
1596,6,Activity AS,,Wednesday,Hugo,normal,-
1596,7,Activity AJ,,Friday,Hannah,normal,-
1596,8,Activity B,,Friday,Amanda,normal,-
1597,1,Activity A,,Monday,Melany,normal,-
1597,2,Activity L,,Monday,Elisha,normal,-
1597,3,Activity N,,Tuesday,Junior,normal,-
1597,4,Activity M,,Monday,Frances,normal,-
1597,5,Activity R,,Friday,Emily,normal,-
1597,6,Activity T,,Tuesday,Brant,normal,-
1597,7,Activity U,,Friday,Ling,normal,-
1597,8,Activity S,,Friday,Junior,normal,-
1597,9,Activity B,,Friday,Michaele,normal,-
1598,1,Activity A,,Friday,Alpha,normal,-
1598,2,Activity AT,,Wednesday,Johnny,normal,-
1598,3,Activity AX,,Wednesday,Craig,normal,-
1598,4,Activity AU,,Wednesday,Lucy,normal,-
1598,5,Activity B,,Tuesday,Rossie,normal,-
1599,1,Activity A,,Monday,Clayton,normal,-
1599,2,Activity AI,,Thursday,Della,normal,-
1599,3,Activity AK,,Friday,Sandra,normal,-
1599,4,Activity AJ,,Monday,Seth,normal,-
1599,5,Activity B,,Monday,Tiffiny,normal,-
1600,1,Activity A,,Friday,Deloras,normal,-
1600,2,Activity C,,Friday,Sharee,normal,-
1600,3,Activity D,,Tuesday,Craig,normal,-
1600,4,Activity E,,Monday,Rossie,normal,-
1600,5,Activity H,,Monday,Keven,normal,-
1600,6,Activity F,,Tuesday,Chan,normal,-
1600,7,Activity J,,Thursday,Sonia,normal,-
1600,8,Activity K,,Friday,Pam,normal,-
1600,9,Activity B,,Monday,Iluminada,normal,-
1601,1,Activity A,,Friday,Alpha,normal,-
1601,2,Activity AT,,Tuesday,Johnny,normal,-
1601,3,Activity AX,,Wednesday,Gema,normal,-
1601,4,Activity AU,,Wednesday,Lucy,normal,-
1601,5,Activity B,,Monday,Lucy,normal,-
1602,1,Activity A,,Friday,Deloras,normal,-
1602,2,Activity C,,Friday,Sharee,normal,-
1602,3,Activity D,,Tuesday,Josef,normal,-
1602,4,Activity E,,Wednesday,Vickie,normal,-
1602,5,Activity I,,Friday,Sherlene,normal,-
1602,6,Activity F,,Wednesday,Charles,normal,-
1602,7,Activity J,,Monday,Ryan,normal,-
1602,8,Activity K,,Thursday,Lannie,normal,-
1602,9,Activity B,,Friday,Melany,normal,-
1603,1,Activity A,,Thursday,Clayton,normal,-
1603,2,Activity AI,,Thursday,Jack,normal,-
1603,3,Activity AP,,Tuesday,Jamika,normal,-
1603,4,Activity AQ,,Friday,Lucy,normal,-
1603,5,Activity AR,,Thursday,Lucy,normal,-
1603,6,Activity AS,,Wednesday,Earl,normal,-
1603,7,Activity AJ,,Thursday,Jack,normal,-
1603,8,Activity B,,Wednesday,Charles,normal,-
1604,1,Activity A,,Friday,Alpha,normal,-
1604,2,Activity AT,,Thursday,Melany,normal,-
1604,3,Activity AX,,Monday,Gema,normal,-
1604,4,Activity AU,,Wednesday,Lucy,normal,-
1604,5,Activity B,,Tuesday,Rossie,normal,-
1605,1,Activity A,,Wednesday,Clayton,normal,-
1605,2,Activity AI,,Thursday,Jack,normal,-
1605,3,Activity AP,,Tuesday,Jamika,normal,-
1605,4,Activity AQ,,Tuesday,Jimmy,normal,-
1605,5,Activity AR,,Thursday,Hassie,normal,-
1605,6,Activity AS,,Wednesday,Earl,normal,-
1605,7,Activity AJ,,Friday,Chan,normal,-
1605,8,Activity B,,Friday,Amanda,normal,-
1606,1,Activity A,,Wednesday,Clayton,normal,-
1606,2,Activity AI,,Thursday,Jack,normal,-
1606,3,Activity AP,,Tuesday,Jamika,normal,-
1606,4,Activity AQ,,Friday,Lucy,normal,-
1606,5,Activity AR,,Friday,Lucy,normal,-
1606,6,Activity AS,,Wednesday,Earl,normal,-
1606,7,Activity AJ,,Monday,Seth,normal,-
1606,8,Activity B,,Monday,Tiffiny,normal,-
1607,1,Activity A,,Wednesday,Clayton,normal,-
1607,2,Activity AI,,Thursday,Jack,normal,-
1607,3,Activity AP,,Tuesday,Jamika,normal,-
1607,4,Activity AQ,,Friday,Lucy,normal,-
1607,5,Activity AR,,Thursday,Hannah,normal,-
1607,6,Activity AS,,Wednesday,Hugo,normal,-
1607,7,Activity AJ,,Wednesday,Chan,normal,-
1607,8,Activity B,,Friday,Amanda,normal,-
1608,1,Activity D,,Wednesday,Joe,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,2,Activity A,,Monday,Carmella,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,3,Activity C,,Friday,Sharee,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,4,Activity E,,Monday,Rossie,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,5,Activity H,,Monday,Keven,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,6,Activity F,,Tuesday,Chan,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,7,Activity J,,Thursday,Sonia,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,8,Activity K,,Tuesday,Ronald,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1608,9,Activity B,,Monday,Hugo,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
1609,1,Activity A,,Friday,Alpha,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,2,Activity AT,,Tuesday,Sherlene,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,3,Activity AY,,Wednesday,Brian,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,4,Activity AZ,,Tuesday,Alpha,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,5,Activity BA,,Thursday,Shandi,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,6,Activity AU,,Tuesday,Lucy,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,7,Activity BB,,Monday,Gema,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1609,8,Activity B,,Tuesday,Rossie,anomalous,"{'shift_from': 5, 'shift_to': 6, 'size': 1}"
1610,1,Activity A,,Monday,Brant,anomalous,"{'size': 2, 'start': 7, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Wednesday'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy', 'day': 'Thursday'}}]}"
1610,2,Activity L,,Thursday,Velda,anomalous,"{'size': 2, 'start': 7, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Wednesday'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy', 'day': 'Thursday'}}]}"
1610,3,Activity P,,Thursday,Sherlene,anomalous,"{'size': 2, 'start': 7, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Wednesday'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy', 'day': 'Thursday'}}]}"
1610,4,Activity Q,,Monday,Lucy,anomalous,"{'size': 2, 'start': 7, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Wednesday'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy', 'day': 'Thursday'}}]}"
1610,5,Activity M,,Wednesday,Keven,anomalous,"{'size': 2, 'start': 7, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Wednesday'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy', 'day': 'Thursday'}}]}"
