case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1627,1,Activity A,,"Iran, Islamic Republic Of",Wednesday,Sharee,anomalous,"{'index': [0, 4, 4], 'attribute_index': [2, 2, 1], 'attribute': ['user', 'user', 'day'], 'original': ['Jamika', 'Hannah', 'Thursday']}"
1627,2,Activity AI,,Macao,Thursday,Steve,anomalous,"{'index': [0, 4, 4], 'attribute_index': [2, 2, 1], 'attribute': ['user', 'user', 'day'], 'original': ['Jamika', 'Hannah', 'Thursday']}"
1627,3,Activity AK,,Holy See (Vatican City State),Wednesday,Sharee,anomalous,"{'index': [0, 4, 4], 'attribute_index': [2, 2, 1], 'attribute': ['user', 'user', 'day'], 'original': ['Jamika', 'Hannah', 'Thursday']}"
1627,4,Activity AJ,,Papua New Guinea,Thursday,Lisa,anomalous,"{'index': [0, 4, 4], 'attribute_index': [2, 2, 1], 'attribute': ['user', 'user', 'day'], 'original': ['Jamika', 'Hannah', 'Thursday']}"
1627,5,Activity B,,Congo,Sunday,Johnny,anomalous,"{'index': [0, 4, 4], 'attribute_index': [2, 2, 1], 'attribute': ['user', 'user', 'day'], 'original': ['Jamika', 'Hannah', 'Thursday']}"
1628,1,Activity A,,Chad,Tuesday,Hoyt,normal,-
1628,2,Activity AI,,New Zealand,Thursday,Hoyt,normal,-
1628,3,Activity AL,,Niger,Friday,Rossie,normal,-
1628,4,Activity AM,,Mauritania,Monday,Josef,normal,-
1628,5,Activity AN,,Uruguay,Thursday,Alpha,normal,-
1628,6,Activity AO,,Madagascar,Monday,Sandra,normal,-
1628,7,Activity AJ,,Sweden,Wednesday,Hugo,normal,-
1628,8,Activity B,,Guadeloupe,Tuesday,Chan,normal,-
1629,1,Activity A,,Angola,Monday,Clayton,normal,-
1629,2,Activity C,,Rwanda,Monday,Grayce,normal,-
1629,3,Activity D,,Somalia,Thursday,Rossana,normal,-
1629,4,Activity E,,Uzbekistan,Monday,Sigrid,normal,-
1629,5,Activity G,,Netherlands,Monday,Ling,normal,-
1629,6,Activity F,,Saudi Arabia,Wednesday,Paul,normal,-
1629,7,Activity J,,Portugal,Tuesday,Della,normal,-
1629,8,Activity K,,Guam,Friday,Jin,normal,-
1629,9,Activity B,,Guadeloupe,Tuesday,Chan,normal,-
1630,1,Activity A,,Chad,Tuesday,Hoyt,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,2,Activity AI,,British Indian Ocean Territory,Friday,Roseanne,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,3,Activity AL,,Niger,Friday,Rossie,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,4,Activity AM,,Hong Kong,Wednesday,Josef,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,5,Activity AN,,Liberia,Tuesday,Brian,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,6,Activity AO,,Afghanistan,Sunday,Lisa,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,7,Activity AJ,,Cape Verde,Monday,Roy,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1630,8,Activity B,,Antarctica,Friday,Chan,anomalous,"{'index': [1, 5, 5, 6], 'attribute_index': [0, 1, 0, 0], 'attribute': ['country', 'day', 'country', 'country'], 'original': ['Virgin Islands, U.S.', 'Tuesday', 'Bulgaria', 'Lithuania']}"
1631,1,Activity A,,Myanmar,Monday,Paul,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1631,2,Activity C,,"Palestinian Territory, Occupied",Monday,Grayce,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1631,3,Activity D,,Somalia,Thursday,Rossana,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1631,4,Activity E,,Uzbekistan,Monday,Sigrid,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1631,5,Activity G,,Netherlands,Monday,Clayton,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1631,6,Activity F,,Saudi Arabia,Wednesday,Paul,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1631,7,Activity B,,Antarctica,Friday,Chan,anomalous,"{'size': 2, 'start': 6, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della', 'day': 'Tuesday', 'country': 'Portugal'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven', 'day': 'Monday', 'country': 'Guatemala'}}]}"
1632,1,Activity A,,Myanmar,Tuesday,Sigrid,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lannie', 'day': 'Monday', 'country': 'Somalia'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sigrid', 'day': 'Monday', 'country': 'Uzbekistan'}}, {'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Monday', 'country': 'Netherlands'}}]}"
1632,2,Activity C,,Rwanda,Monday,Velda,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lannie', 'day': 'Monday', 'country': 'Somalia'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sigrid', 'day': 'Monday', 'country': 'Uzbekistan'}}, {'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Monday', 'country': 'Netherlands'}}]}"
1632,3,Activity D,,Somalia,Monday,Lannie,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lannie', 'day': 'Monday', 'country': 'Somalia'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sigrid', 'day': 'Monday', 'country': 'Uzbekistan'}}, {'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Monday', 'country': 'Netherlands'}}]}"
