case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1650,1,Activity A,,Codehow,Sri Lanka,Friday,Hassie,normal,-
1650,2,Activity C,,Betatech,Israel,Friday,Amanda,normal,-
1650,3,Activity D,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1650,4,Activity E,,Konmatfix,Denmark,Tuesday,Sigrid,normal,-
1650,5,Activity I,,Treequote,French Polynesia,Thursday,Brant,normal,-
1650,6,Activity F,,year-job,Reunion,Thursday,Ling,normal,-
1650,7,Activity J,,Betatech,France,Wednesday,Sherell,normal,-
1650,8,Activity K,,Xx-zobam,Mexico,Thursday,Rossana,normal,-
1650,9,Activity B,,Dontechi,Malaysia,Monday,Emily,normal,-
1651,1,Activity A,,Xx-zobam,Liechtenstein,Monday,Grayce,normal,-
1651,2,Activity AT,,Hottechi,Afghanistan,Friday,Amanda,normal,-
1651,3,Activity AV,,Sumace,Cuba,Friday,Johnny,normal,-
1651,4,Activity AW,,Scotfind,Swaziland,Wednesday,Steve,normal,-
1651,5,Activity AU,,Treequote,Liberia,Wednesday,Keven,normal,-
1651,6,Activity B,,Inity,Guatemala,Tuesday,Hassie,normal,-
1652,1,Activity A,,Toughzap,Azerbaijan,Monday,Grayce,normal,-
1652,2,Activity AT,,Betasoloin,Belarus,Friday,Joe,normal,-
1652,3,Activity AX,,Openlane,Afghanistan,Friday,Steve,normal,-
1652,4,Activity AU,,Dalttechnology,Ghana,Tuesday,Lannie,normal,-
1652,5,Activity B,,Dontechi,Sudan,Monday,Grayce,normal,-
1653,1,Activity A,,Codehow,Panama,Monday,Roseanne,anomalous,"{'indices': [1, 9]}"
1653,2,Random activity 29,,Random company 9,Random country 89,Random day 2,Random user 46,anomalous,"{'indices': [1, 9]}"
1653,3,Activity L,,Scottech,Botswana,Friday,Evelin,anomalous,"{'indices': [1, 9]}"
1653,4,Activity P,,Newex,Macao,Tuesday,Michaele,anomalous,"{'indices': [1, 9]}"
1653,5,Activity Q,,Singletechno,Martinique,Friday,Pam,anomalous,"{'indices': [1, 9]}"
