case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1529,1,Activity A,,Tuesday,Keven,normal,-
1529,2,Activity Q,,Thursday,Charles,normal,-
1529,3,Activity R,,Friday,Della,normal,-
1529,4,Activity S,,Wednesday,Velda,normal,-
1529,5,Activity T,,Monday,Frances,normal,-
1529,6,Activity U,,Tuesday,Charles,normal,-
1529,7,Activity V,,Friday,Seth,normal,-
1529,8,Activity Y,,Friday,Joe,normal,-
1529,9,Activity W,,Wednesday,Howard,normal,-
1529,10,Activity B,,Thursday,Carmella,normal,-
1530,1,Activity A,,Monday,Howard,normal,-
1530,2,Activity C,,Wednesday,Clayton,normal,-
1530,3,Activity D,,Thursday,Rossie,normal,-
1530,4,Activity E,,Tuesday,Amanda,normal,-
1530,5,Activity H,,Tuesday,Ling,normal,-
1530,6,Activity F,,Thursday,Hassie,normal,-
1530,7,Activity I,,Friday,Iluminada,normal,-
1530,8,Activity K,,Wednesday,Maryellen,normal,-
1530,9,Activity L,,Thursday,Doretta,normal,-
1530,10,Activity J,,Monday,Sonia,normal,-
1530,11,Activity B,,Thursday,Roy,normal,-
1531,1,Activity A,,Friday,Earl,normal,-
1531,2,Activity Q,,Thursday,Charles,normal,-
1531,3,Activity R,,Friday,Paul,normal,-
1531,4,Activity S,,Wednesday,Velda,normal,-
1531,5,Activity T,,Thursday,Doretta,normal,-
1531,6,Activity U,,Friday,Josef,normal,-
1531,7,Activity V,,Friday,Seth,normal,-
1531,8,Activity Y,,Thursday,Elisha,normal,-
1531,9,Activity W,,Friday,Sonia,normal,-
1531,10,Activity B,,Thursday,Carmella,normal,-
1532,1,Activity A,,Wednesday,Howard,normal,-
1532,2,Activity Q,,Thursday,Charles,normal,-
1532,3,Activity R,,Friday,Paul,normal,-
1532,4,Activity S,,Wednesday,Velda,normal,-
1532,5,Activity T,,Monday,Doretta,normal,-
1532,6,Activity U,,Wednesday,Charles,normal,-
1532,7,Activity V,,Thursday,Ryan,normal,-
1532,8,Activity AA,,Thursday,Hannah,normal,-
1532,9,Activity W,,Thursday,Amanda,normal,-
1532,10,Activity B,,Thursday,Roy,normal,-
1533,1,Activity A,,Tuesday,Howard,anomalous,"{'indices': [1, 8]}"
