case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1667,1,Activity A,,Mali,Friday,Alyce,normal,-
1667,2,Activity AB,,Canada,Friday,Seth,normal,-
1667,3,Activity AE,,Albania,Monday,Grayce,normal,-
1667,4,Activity AC,,Italy,Friday,James,normal,-
1667,5,Activity AG,,Paraguay,Monday,Frances,normal,-
1667,6,Activity AJ,,Paraguay,Friday,Sherlene,normal,-
1667,7,Activity AH,,United States,Tuesday,Tiffiny,normal,-
1667,8,Activity AL,,Latvia,Tuesday,Issac,normal,-
1667,9,Activity AN,,Cameroon,Friday,Jin,normal,-
1667,10,Activity AM,,Cyprus,Wednesday,Brian,normal,-
1667,11,Activity AP,,Guadeloupe,Wednesday,Micheline,normal,-
1667,12,Activity B,,Haiti,Thursday,Charles,normal,-
1668,1,Activity A,,United States,Friday,Wilton,normal,-
1668,2,Activity Q,,Macao,Tuesday,Deloras,normal,-
1668,3,Activity R,,Mali,Friday,Donald,normal,-
1668,4,Activity S,,Kyrgyzstan,Monday,Steve,normal,-
1668,5,Activity T,,Hungary,Tuesday,Alpha,normal,-
1668,6,Activity U,,Greece,Tuesday,Jin,normal,-
1668,7,Activity V,,Costa Rica,Monday,Jack,normal,-
1668,8,Activity Z,,Israel,Wednesday,Sharee,normal,-
1668,9,Activity W,,Chad,Friday,Amanda,normal,-
1668,10,Activity B,,Uruguay,Friday,Marilyn,normal,-
1669,1,Activity A,,Russian Federation,Friday,Anna,normal,-
1669,2,Activity Q,,Macao,Tuesday,Deloras,normal,-
1669,3,Activity R,,Mali,Friday,Donald,normal,-
1669,4,Activity S,,Kyrgyzstan,Thursday,Steve,normal,-
1669,5,Activity T,,Hungary,Friday,Wilton,normal,-
1669,6,Activity U,,Greece,Tuesday,Earl,normal,-
1669,7,Activity V,,Costa Rica,Monday,Shandi,normal,-
1669,8,Activity Z,,Israel,Wednesday,Sharee,normal,-
1669,9,Activity W,,Chad,Friday,Amanda,normal,-
1669,10,Activity B,,Uruguay,Friday,Melany,normal,-
1670,1,Activity A,,Mali,Friday,Alyce,normal,-
1670,2,Activity AB,,Nicaragua,Friday,Doretta,normal,-
1670,3,Activity AD,,Somalia,Monday,Lannie,normal,-
1670,4,Activity AC,,Ukraine,Monday,Deloras,normal,-
1670,5,Activity AG,,Finland,Thursday,Sigrid,normal,-
1670,6,Activity AK,,Guam,Monday,Emily,normal,-
1670,7,Activity AH,,Libyan Arab Jamahiriya,Tuesday,Velda,normal,-
