case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1624,1,Activity A,,Sumace,Zambia,Thursday,Hannah,normal,-
1624,2,Activity C,,Opentech,Gabon,Thursday,Emily,normal,-
1624,3,Activity D,,Betatech,Niue,Friday,Charles,normal,-
1624,4,Activity E,,Streethex,San Marino,Friday,Evelin,normal,-
1624,5,Activity G,,Betasoloin,Botswana,Thursday,Pam,normal,-
1624,6,Activity F,,Isdom,United States Outlying Islands,Monday,Michaele,normal,-
1624,7,Activity I,,J-Texon,Israel,Monday,Sherell,normal,-
1624,8,Activity K,,Ganjaflex,Mauritius,Thursday,Sandra,normal,-
1624,9,Activity L,,Donware,India,Wednesday,Micheline,normal,-
1624,10,Activity J,,Iselectrics,Aruba,Monday,Brant,normal,-
1624,11,Activity B,,Inity,Grenada,Monday,Ryan,normal,-
1625,1,Activity A,,Toughzap,Senegal,Thursday,Deloras,normal,-
1625,2,Activity AB,,Warephase,Poland,Monday,Ronald,normal,-
1625,3,Activity AF,,Gogozoom,Bouvet Island,Monday,Joe,normal,-
1625,4,Activity AC,,Labdrill,Iraq,Friday,Maryellen,normal,-
1625,5,Activity AG,,dambase,Ecuador,Friday,Hassie,normal,-
1625,6,Activity AI,,year-job,Moldova,Friday,Roseanne,normal,-
1625,7,Activity AH,,Green-Plus,Togo,Monday,Ryan,normal,-
1625,8,Activity AL,,Bioplex,Iceland,Wednesday,Tiffiny,normal,-
1625,9,Activity AO,,Toughzap,Kiribati,Thursday,Roseanne,normal,-
1625,10,Activity AM,,Inity,Sri Lanka,Tuesday,Seth,normal,-
1625,11,Activity AP,,Xx-holding,"Palestinian Territory, Occupied",Monday,Hassie,normal,-
1625,12,Activity B,,Conecom,Zambia,Tuesday,Tiffiny,normal,-
1626,1,Activity A,,Dontechi,Nigeria,Monday,Sigrid,normal,-
1626,2,Activity Q,,Blackzim,Grenada,Monday,Roy,normal,-
1626,3,Activity R,,Xx-holding,Sierra Leone,Tuesday,Maryellen,normal,-
1626,4,Activity S,,Scottech,Uruguay,Thursday,Hugo,normal,-
1626,5,Activity T,,Treequote,Lao People's Democratic Republic,Monday,Josef,normal,-
1626,6,Activity U,,Silis,Mayotte,Friday,Grayce,normal,-
1626,7,Activity V,,Goodsilron,Sweden,Tuesday,Chan,normal,-
1626,8,Activity AA,,Cancity,Cuba,Friday,Charles,normal,-
1626,9,Activity W,,Ganjaflex,South Africa,Thursday,Della,normal,-
1626,10,Activity B,,Plusstrip,Fiji,Tuesday,Charles,normal,-
