case_id,event_position,activity_name,timestamp,user,label,anomaly_description
1633,1,Activity A,,Doretta,normal,-
1633,2,Activity C,,Della,normal,-
1633,3,Activity G,,Steve,normal,-
1633,4,Activity D,,Emily,normal,-
1633,5,Activity I,,Howard,normal,-
1633,6,Activity M,,Junior,normal,-
1633,7,Activity J,,Micheline,normal,-
1633,8,Activity B,,Michaele,normal,-
1634,1,Activity A,,Keven,normal,-
1634,2,Activity O,,Sandra,normal,-
1634,3,Activity U,,Jimmy,normal,-
1634,4,Activity W,,Evelin,normal,-
1634,5,Activity V,,Jamika,normal,-
1634,6,Activity P,,Jin,normal,-
1634,7,Activity B,,Sherell,normal,-
1635,1,Activity A,,Micheline,normal,-
1635,2,Activity Y,,Ling,normal,-
1635,3,Activity B,,Michaele,normal,-
1636,1,Activity A,,Melany,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,2,Activity Z,,Della,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,3,Activity AA,,Joe,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,4,Activity AE,,Iluminada,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,5,Activity AB,,Josef,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,6,Activity B,,Carmella,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,7,Activity AE,,Iluminada,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,8,Activity AB,,Josef,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1636,9,Activity B,,Carmella,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity AE', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}, {'name': 'Activity AB', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
1637,1,Activity A,,Rossana,normal,-
1637,2,Activity O,,Iluminada,normal,-
1637,3,Activity Q,,Elisha,normal,-
1637,4,Activity R,,Josef,normal,-
1637,5,Activity P,,Ryan,normal,-
1637,6,Activity B,,Alpha,normal,-
1638,1,Activity A,,Keven,normal,-
1638,2,Activity O,,Iluminada,normal,-
1638,3,Activity Q,,Elisha,normal,-
1638,4,Activity R,,Charles,normal,-
1638,5,Activity P,,Jin,normal,-
1638,6,Activity B,,Sherell,normal,-
1639,1,Activity A,,Keven,normal,-
1639,2,Activity O,,Brian,normal,-
1639,3,Activity U,,Jimmy,normal,-
1639,4,Activity W,,Evelin,normal,-
1639,5,Activity V,,Jamika,normal,-
1639,6,Activity P,,Ryan,normal,-
1639,7,Activity B,,Alpha,normal,-
1640,1,Activity A,,Doretta,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,2,Activity C,,Junior,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,3,Activity H,,Micheline,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,4,Activity D,,Lannie,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,5,Activity I,,Wilton,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,6,Activity M,,Howard,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,7,Activity J,,Frances,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1640,8,Activity B,,Brian,anomalous,"{'index': [3, 4, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Ryan', 'Michaele']}"
1641,1,Activity A,,Micheline,normal,-
1641,2,Activity Y,,Johnny,normal,-
1641,3,Activity B,,Michaele,normal,-
1642,1,Activity A,,Steve,normal,-
1642,2,Activity C,,Pam,normal,-
1642,3,Activity G,,Amanda,normal,-
1642,4,Activity D,,Emily,normal,-
1642,5,Activity I,,Keven,normal,-
1642,6,Activity L,,James,normal,-
1642,7,Activity J,,Micheline,normal,-
1642,8,Activity B,,Michaele,normal,-
1643,1,Activity A,,Micheline,normal,-
1643,2,Activity Y,,Johnny,normal,-
1643,3,Activity B,,Michaele,normal,-
1644,1,Activity Y,,Ling,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1644,2,Activity B,,Michaele,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
1645,1,Activity A,,Steve,normal,-
1645,2,Activity C,,Lisa,normal,-
1645,3,Activity E,,Donald,normal,-
1645,4,Activity D,,Keven,normal,-
1645,5,Activity I,,Chan,normal,-
1645,6,Activity N,,Lucy,normal,-
1645,7,Activity J,,Micheline,normal,-
1645,8,Activity B,,Michaele,normal,-
1646,1,Activity A,,Keven,normal,-
1646,2,Activity O,,Sandra,normal,-
1646,3,Activity U,,Velda,normal,-
1646,4,Activity X,,Steve,normal,-
1646,5,Activity V,,Maryellen,normal,-
1646,6,Activity P,,Seth,normal,-
1646,7,Activity B,,Sherlene,normal,-
1647,1,Activity A,,Rossana,normal,-
1647,2,Activity O,,Brian,normal,-
1647,3,Activity U,,Velda,normal,-
1647,4,Activity X,,Jimmy,normal,-
1647,5,Activity V,,Maryellen,normal,-
1647,6,Activity P,,Paul,normal,-
1647,7,Activity B,,Alpha,normal,-
1648,1,Activity A,,Keven,normal,-
1648,2,Activity O,,Sandra,normal,-
1648,3,Activity U,,Velda,normal,-
1648,4,Activity X,,Pam,normal,-
1648,5,Activity V,,Maryellen,normal,-
1648,6,Activity P,,Ryan,normal,-
1648,7,Activity B,,Alpha,normal,-
1649,1,Activity A,,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}]}"
1649,2,Activity Y,,Ling,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}]}"
1649,3,Activity B,,Michaele,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}]}"
1649,4,Activity A,,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}]}"
1649,5,Activity Y,,Ling,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}]}"
1650,1,Activity A,,Rossana,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}]}"
1650,2,Activity O,,Iluminada,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}]}"
1650,3,Activity Q,,Elisha,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}]}"
1650,4,Activity B,,Sherlene,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Josef'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}]}"
1651,1,Activity A,,Steve,normal,-
1651,2,Activity C,,Junior,normal,-
1651,3,Activity H,,Jin,normal,-
1651,4,Activity D,,Rossana,normal,-
1651,5,Activity I,,Maryellen,normal,-
1651,6,Activity L,,Rossana,normal,-
1651,7,Activity J,,Jack,normal,-
1651,8,Activity B,,Sherell,normal,-
1652,1,Activity A,,Keven,normal,-
1652,2,Activity O,,Melany,normal,-
1652,3,Activity S,,Doretta,normal,-
1652,4,Activity T,,Velda,normal,-
1652,5,Activity P,,Seth,normal,-
1652,6,Activity B,,Sherlene,normal,-
1653,1,Activity A,,Steve,normal,-
1653,2,Activity C,,Pam,normal,-
1653,3,Activity G,,Amanda,normal,-
1653,4,Activity D,,Emily,normal,-
1653,5,Activity I,,Howard,normal,-
1653,6,Activity M,,Howard,normal,-
1653,7,Activity J,,Frances,normal,-
1653,8,Activity B,,Michaele,normal,-
1654,1,Activity A,,Steve,normal,-
1654,2,Activity C,,Junior,normal,-
1654,3,Activity H,,Jin,normal,-
1654,4,Activity D,,Brian,normal,-
1654,5,Activity I,,Maryellen,normal,-
1654,6,Activity L,,Rossana,normal,-
1654,7,Activity J,,Jamika,normal,-
1654,8,Activity B,,Michaele,normal,-
1655,1,Activity A,,Steve,normal,-
1655,2,Activity C,,Jack,normal,-
1655,3,Activity F,,Howard,normal,-
1655,4,Activity D,,Wilton,normal,-
1655,5,Activity I,,Maryellen,normal,-
1655,6,Activity K,,Velda,normal,-
1655,7,Activity J,,Jack,normal,-
1655,8,Activity B,,Sherell,normal,-
1656,1,Activity A,,Rossana,normal,-
1656,2,Activity O,,Melany,normal,-
1656,3,Activity S,,Doretta,normal,-
1656,4,Activity T,,Velda,normal,-
1656,5,Activity P,,Ryan,normal,-
1656,6,Activity B,,Alpha,normal,-
1657,1,Activity A,,Doretta,normal,-
1657,2,Activity C,,Wilton,normal,-
1657,3,Activity F,,Howard,normal,-
1657,4,Activity D,,Keven,normal,-
1657,5,Activity I,,Chan,normal,-
1657,6,Activity N,,Velda,normal,-
1657,7,Activity J,,Jimmy,normal,-
1657,8,Activity B,,Sherell,normal,-
1658,1,Activity A,,Steve,normal,-
1658,2,Activity C,,Junior,normal,-
1658,3,Activity H,,Jin,normal,-
1658,4,Activity D,,Brian,normal,-
1658,5,Activity I,,Johnny,normal,-
1658,6,Activity K,,Issac,normal,-
1658,7,Activity J,,Jimmy,normal,-
1658,8,Activity B,,Sherell,normal,-
1659,1,Activity A,,Keven,normal,-
1659,2,Activity O,,Brian,normal,-
1659,3,Activity U,,Sigrid,normal,-
1659,4,Activity W,,Evelin,normal,-
1659,5,Activity V,,Jamika,normal,-
1659,6,Activity P,,Ryan,normal,-
1659,7,Activity B,,Alpha,normal,-
1660,1,Activity A,,Micheline,normal,-
1660,2,Activity Y,,Johnny,normal,-
1660,3,Activity B,,Michaele,normal,-
1661,1,Activity A,,Shandi,normal,-
1661,2,Activity Y,,Ling,normal,-
1661,3,Activity B,,Michaele,normal,-
1662,1,Activity A,,Keven,normal,-
1662,2,Activity O,,Sandra,normal,-
1662,3,Activity U,,Velda,normal,-
1662,4,Activity X,,Pam,normal,-
1662,5,Activity V,,Maryellen,normal,-
1662,6,Activity P,,Paul,normal,-
1662,7,Activity B,,Alpha,normal,-
1663,1,Activity A,,Keven,normal,-
1663,2,Activity O,,Sandra,normal,-
1663,3,Activity U,,Sigrid,normal,-
1663,4,Activity W,,Evelin,normal,-
1663,5,Activity V,,Jamika,normal,-
1663,6,Activity P,,Ryan,normal,-
1663,7,Activity B,,Alpha,normal,-
1664,1,Activity A,,Rossana,normal,-
1664,2,Activity O,,Melany,normal,-
1664,3,Activity S,,Doretta,normal,-
1664,4,Activity T,,Velda,normal,-
1664,5,Activity P,,Jin,normal,-
1664,6,Activity B,,Sherell,normal,-
