case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1667,1,Activity A,,Wednesday,Frances,normal,-
1667,2,Activity Z,,Thursday,Paul,normal,-
1667,3,Activity AA,,Wednesday,Lisa,normal,-
1667,4,Activity AD,,Wednesday,Frances,normal,-
1667,5,Activity AB,,Monday,Pam,normal,-
1667,6,Activity B,,Tuesday,Hannah,normal,-
1668,1,Activity A,,Wednesday,Frances,normal,-
1668,2,Activity Z,,Thursday,Paul,normal,-
1668,3,Activity AA,,Wednesday,Carmella,normal,-
1668,4,Activity AC,,Monday,Shandi,normal,-
1668,5,Activity AB,,Monday,Pam,normal,-
1668,6,Activity B,,Thursday,Jack,normal,-
1669,1,Activity A,,Friday,Deloras,normal,-
1669,2,Activity C,,Monday,Jamika,normal,-
1669,3,Activity H,,Thursday,Alyce,normal,-
1669,4,Activity D,,Monday,Alpha,normal,-
1669,5,Activity I,,Friday,Keven,normal,-
1669,6,Activity M,,Tuesday,Emily,normal,-
1669,7,Activity J,,Monday,Hugo,normal,-
1669,8,Activity B,,Thursday,Jack,normal,-
1670,1,Activity A,,Wednesday,Elisha,normal,-
1670,2,Activity Z,,Thursday,Paul,normal,-
1670,3,Activity AA,,Wednesday,Hugo,normal,-
1670,4,Activity AD,,Wednesday,Frances,normal,-
1670,5,Activity AB,,Friday,Jamika,normal,-
1670,6,Activity B,,Wednesday,Hannah,normal,-
1671,1,Activity A,,Friday,Frances,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1671,2,Activity AF,,Wednesday,Gema,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1671,3,Activity AB,,Monday,Pam,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1671,4,Activity Z,,Thursday,Ling,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1671,5,Activity AA,,Friday,Chan,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1671,6,Activity B,,Tuesday,Hannah,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
1672,1,Activity A,,Friday,Elisha,normal,-
1672,2,Activity Z,,Thursday,Paul,normal,-
1672,3,Activity AA,,Wednesday,Lisa,normal,-
1672,4,Activity AD,,Wednesday,Frances,normal,-
1672,5,Activity AB,,Monday,Jimmy,normal,-
1672,6,Activity B,,Tuesday,Hannah,normal,-
1673,1,Activity A,,Friday,Frances,normal,-
1673,2,Activity Z,,Thursday,Ling,normal,-
1673,3,Activity AA,,Wednesday,Chan,normal,-
1673,4,Activity AF,,Wednesday,Iluminada,normal,-
1673,5,Activity AB,,Tuesday,Earl,normal,-
1673,6,Activity B,,Wednesday,Hannah,normal,-
1674,1,Activity A,,Friday,Donald,normal,-
1674,2,Activity O,,Tuesday,Earl,normal,-
1674,3,Activity S,,Thursday,Sherlene,normal,-
1674,4,Activity T,,Tuesday,Jimmy,normal,-
1674,5,Activity P,,Friday,James,normal,-
1674,6,Activity B,,Friday,Della,normal,-
1675,1,Activity A,,Wednesday,Micheline,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline', 'day': 'Wednesday'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Grayce', 'day': 'Monday'}}]}"
1675,2,Activity Y,,Monday,Grayce,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline', 'day': 'Wednesday'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Grayce', 'day': 'Monday'}}]}"
1675,3,Activity B,,Thursday,Jack,anomalous,"{'size': 2, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline', 'day': 'Wednesday'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Grayce', 'day': 'Monday'}}]}"
