case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1455,1,Activity A,,Angola,Tuesday,Clayton,anomalous,{'indices': [3]}
1455,2,Activity C,,Zambia,Monday,Wilton,anomalous,{'indices': [3]}
1455,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Sandra,anomalous,{'indices': [3]}
1455,4,Random activity 9,,Random country 94,Random day 2,Random user 28,anomalous,{'indices': [3]}
1455,5,Activity D,,San Marino,Thursday,Emily,anomalous,{'indices': [3]}
1455,6,Activity I,,Georgia,Monday,Sigrid,anomalous,{'indices': [3]}
1455,7,Activity K,,Western Sahara,Friday,James,anomalous,{'indices': [3]}
1455,8,Activity J,,Indonesia,Tuesday,Hassie,anomalous,{'indices': [3]}
1455,9,Activity B,,Japan,Tuesday,Jimmy,anomalous,{'indices': [3]}
1456,1,Activity A,,Holy See (Vatican City State),Friday,Alyce,normal,-
1456,2,Activity Y,,Isle Of Man,Thursday,Sigrid,normal,-
1456,3,Activity B,,Anguilla,Wednesday,Anna,normal,-
1457,1,Activity A,,French Polynesia,Tuesday,Clayton,normal,-
1457,2,Activity C,,Burkina Faso,Tuesday,Lucy,normal,-
1457,3,Activity H,,Suriname,Tuesday,Ling,normal,-
1457,4,Activity D,,Bermuda,Friday,Jimmy,normal,-
1457,5,Activity I,,Holy See (Vatican City State),Friday,Amanda,normal,-
1457,6,Activity L,,Botswana,Friday,Emily,normal,-
1457,7,Activity J,,Madagascar,Tuesday,Junior,normal,-
1457,8,Activity B,,Guinea,Tuesday,Craig,normal,-
1458,1,Activity A,,Norway,Tuesday,Sigrid,normal,-
1458,2,Activity C,,Zambia,Monday,Michaele,normal,-
1458,3,Activity E,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1458,4,Activity D,,San Marino,Tuesday,Elisha,normal,-
1458,5,Activity I,,Paraguay,Friday,Jamika,normal,-
1458,6,Activity N,,Svalbard And Jan Mayen,Thursday,Alpha,normal,-
1458,7,Activity J,,Isle Of Man,Monday,Melany,normal,-
1458,8,Activity B,,Burkina Faso,Wednesday,Josef,normal,-
1459,1,Activity O,,Tunisia,Monday,Sonia,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce', 'day': 'Friday', 'country': 'Portugal'}}]}"
