case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1660,1,Activity A,,Toughzap,Senegal,Thursday,Deloras,normal,-
1660,2,Activity C,,Sumace,Poland,Thursday,Howard,normal,-
1660,3,Activity F,,Rantouch,Gibraltar,Thursday,Vickie,normal,-
1660,4,Activity D,,Condax,Ghana,Monday,Maryellen,normal,-
1660,5,Activity I,,Inity,Gibraltar,Thursday,Pam,normal,-
1660,6,Activity L,,Stanredtax,Cocos (Keeling) Islands,Tuesday,Ling,normal,-
1660,7,Activity J,,Betasoloin,Viet Nam,Tuesday,Ryan,normal,-
1660,8,Activity B,,Xx-zobam,Colombia,Thursday,Anna,normal,-
1661,1,Activity A,,Donware,British Indian Ocean Territory,Tuesday,Wilton,normal,-
1661,2,Activity Z,,Plussunin,Chad,Wednesday,Michaele,normal,-
1661,3,Activity AA,,Sonron,Albania,Wednesday,Sigrid,normal,-
1661,4,Activity AD,,Donware,Bahrain,Friday,Roseanne,normal,-
1661,5,Activity AB,,Kinnamplus,Gabon,Tuesday,Earl,normal,-
1661,6,Activity B,,Rundofase,Nauru,Thursday,Sharee,normal,-
1662,1,Activity A,,Donware,British Indian Ocean Territory,Wednesday,Wilton,normal,-
1662,2,Activity Z,,Donquadtech,Chad,Wednesday,Ling,normal,-
1662,3,Activity AA,,year-job,Libyan Arab Jamahiriya,Wednesday,Sandra,normal,-
1662,4,Activity AF,,Donquadtech,Cocos (Keeling) Islands,Friday,Ling,normal,-
1662,5,Activity AB,,Golddex,Djibouti,Thursday,Melany,normal,-
1662,6,Activity B,,Plussunin,Nauru,Tuesday,Marilyn,normal,-
1663,1,Activity A,,Dontechi,"Virgin Islands, U.S.",Friday,Melany,normal,-
1663,2,Activity Y,,Stanredtax,Czech Republic,Friday,Anna,normal,-
1663,3,Activity B,,Y-corporation,Heard Island & Mcdonald Islands,Tuesday,Della,normal,-
1664,1,Activity A,,Toughzap,Senegal,Thursday,Deloras,normal,-
1664,2,Activity C,,Isdom,Norfolk Island,Wednesday,Sigrid,normal,-
1664,3,Activity F,,Donquadtech,United Arab Emirates,Thursday,Vickie,normal,-
