case_id,event_position,activity_name,timestamp,user,label,anomaly_description
1597,1,Create SC,,Jamika,normal,-
1597,2,Purchase SC,,Shandi,normal,-
1597,3,Approve SC,,Hugo,normal,-
1597,4,Create PO,,Wilton,normal,-
1597,5,Approve PO 1,,Doretta,normal,-
1597,6,Release PO,,Deloras,normal,-
1597,7,Post GR,,Jack,normal,-
1597,8,Post IR,,Howard,normal,-
1597,9,Pay,,Lannie,normal,-
1598,1,Create SC,,Jamika,normal,-
1598,2,Purchase SC,,Paul,normal,-
1598,3,Approve SC,,Hugo,normal,-
1598,4,Create PO,,Wilton,normal,-
1598,5,Approve PO 1,,Chan,normal,-
1598,6,Release PO,,Hassie,normal,-
1598,7,Post GR,,Velda,normal,-
1598,8,Post IR,,Brian,normal,-
1598,9,Pay,,Lannie,normal,-
1599,1,Create SC,,Jamika,normal,-
1599,2,Purchase SC,,Paul,normal,-
1599,3,Approve SC,,Hugo,normal,-
1599,4,Create PO,,Keven,normal,-
1599,5,Approve PO 1,,Clayton,normal,-
1599,6,Release PO,,Hassie,normal,-
1599,7,Post GR,,Velda,normal,-
1599,8,Post IR,,Brian,normal,-
1599,9,Pay,,Lannie,normal,-
1600,1,Create PR,,Lisa,normal,-
1600,2,Release PR,,Evelin,normal,-
1600,3,Create PO,,Keven,normal,-
1600,4,Approve PO 1,,Chan,normal,-
1600,5,Release PO,,Hassie,normal,-
1600,6,Post GR,,Velda,normal,-
1600,7,Post IR,,Rossana,normal,-
1600,8,Pay,,Lannie,normal,-
1601,1,Create SC,,Jamika,normal,-
1601,2,Purchase SC,,Shandi,normal,-
1601,3,Approve SC,,Hugo,normal,-
1601,4,Create PO,,Keven,normal,-
1601,5,Approve PO 1,,Clayton,normal,-
1601,6,Release PO,,Hassie,normal,-
1601,7,Post GR,,Velda,normal,-
1601,8,Post IR,,Brian,normal,-
1601,9,Pay,,Lannie,normal,-
1602,1,Create SC,,Jamika,normal,-
1602,2,Purchase SC,,Paul,normal,-
1602,3,Approve SC,,Hugo,normal,-
1602,4,Create PO,,Ronald,normal,-
1602,5,Release PO,,Deloras,normal,-
1602,6,Post GR,,Jin,normal,-
1602,7,Post IR,,Howard,normal,-
1602,8,Pay,,Lannie,normal,-
1603,1,Create SC,,Jamika,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,2,Purchase SC,,Paul,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,3,Approve SC,,Hugo,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,4,Create PO,,Ronald,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,5,Release PO,,Brian,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,6,Post GR,,Velda,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,7,Post IR,,Roy,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1603,8,Pay,,Rossie,anomalous,"{'index': [4, 6, 7], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Brian', 'Lannie']}"
1604,1,Create SC,,Jamika,normal,-
1604,2,Purchase SC,,Paul,normal,-
1604,3,Approve SC,,Hugo,normal,-
1604,4,Create PO,,Ronald,normal,-
1604,5,Release PO,,Tiffiny,normal,-
1604,6,Post GR,,Jin,normal,-
1604,7,Post IR,,Howard,normal,-
1604,8,Pay,,Lannie,normal,-
1605,1,Create SC,,Jamika,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
1605,2,Purchase SC,,Paul,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
1605,3,Approve SC,,Hugo,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
1605,4,Create PO,,Wilton,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
1605,5,Approve PO 1,,Clayton,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
1605,6,Release PO,,Deloras,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
1605,7,Post GR,,Issac,anomalous,"{'size': 1, 'start': 7, 'skipped': [{'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce'}}]}"
