case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1631,1,Create PR,,Thursday,Donald,normal,-
1631,2,Release PR,,Tuesday,Jack,normal,-
1631,3,Create PO,,Thursday,Hannah,normal,-
1631,4,Release PO,,Thursday,Emily,normal,-
1631,5,Post GR,,Friday,Hannah,normal,-
1631,6,Post IR,,Tuesday,Rossie,normal,-
1631,7,Pay,,Monday,Josef,normal,-
1632,1,Create PR,,Wednesday,Josef,normal,-
1632,2,Release PR,,Wednesday,Lourdes,normal,-
1632,3,Create PO,,Thursday,Carmella,normal,-
1632,4,Release PO,,Thursday,Emily,normal,-
1632,5,Post GR,,Thursday,Jack,normal,-
1632,6,Post IR,,Thursday,Shandi,normal,-
1632,7,Pay,,Wednesday,Evelin,normal,-
1633,1,Create PR,,Thursday,Donald,normal,-
1633,2,Release PR,,Wednesday,Jack,normal,-
1633,3,Create PO,,Tuesday,Seth,normal,-
1633,4,Approve PO 1,,Monday,Howard,normal,-
1633,5,Approve PO 2,,Thursday,Sharee,normal,-
1633,6,Approve PO 3,,Monday,Jamika,normal,-
1633,7,Release PO,,Friday,Lucy,normal,-
1633,8,Post GR,,Thursday,Lisa,normal,-
1633,9,Post IR,,Friday,Carmella,normal,-
1633,10,Pay,,Tuesday,Jimmy,normal,-
1634,1,Create PR,,Thursday,Donald,normal,-
1634,2,Release PR,,Wednesday,Lourdes,normal,-
1634,3,Create PO,,Tuesday,Seth,normal,-
1634,4,Approve PO 1,,Monday,Howard,normal,-
1634,5,Approve PO 2,,Friday,Wilton,normal,-
1634,6,Release PO,,Thursday,Emily,normal,-
1634,7,Post GR,,Monday,Hannah,normal,-
1634,8,Post IR,,Tuesday,Rossie,normal,-
1634,9,Pay,,Tuesday,Jimmy,normal,-
1635,1,Create PR,,Wednesday,Josef,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1635,2,Release PR,,Wednesday,Lourdes,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1635,3,Create PO,,Thursday,Micheline,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1635,4,Release PO,,Monday,Rossana,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1635,5,Post GR,,Monday,Hannah,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1635,6,Post IR,,Thursday,Grayce,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1635,7,Pay,,Thursday,Evelin,anomalous,"{'index': [6], 'attribute_index': [0], 'attribute': ['day'], 'original': ['Wednesday']}"
1636,1,Create PR,,Thursday,Donald,normal,-
1636,2,Release PR,,Wednesday,Jack,normal,-
1636,3,Create PO,,Thursday,Micheline,normal,-
1636,4,Release PO,,Monday,Hugo,normal,-
1636,5,Post GR,,Monday,Hannah,normal,-
1636,6,Post IR,,Monday,Lucy,normal,-
1636,7,Pay,,Monday,Josef,normal,-
1637,1,Create PR,,Wednesday,Josef,normal,-
1637,2,Release PR,,Wednesday,Lourdes,normal,-
1637,3,Create PO,,Thursday,Micheline,normal,-
1637,4,Release PO,,Monday,Hugo,normal,-
1637,5,Post GR,,Friday,Hannah,normal,-
1637,6,Post IR,,Tuesday,Rossie,normal,-
1637,7,Pay,,Monday,Josef,normal,-
1638,1,Create PR,,Thursday,Donald,normal,-
1638,2,Release PR,,Tuesday,Jack,normal,-
1638,3,Create PO,,Thursday,Carmella,normal,-
1638,4,Release PO,,Thursday,Emily,normal,-
1638,5,Post GR,,Thursday,Hannah,normal,-
1638,6,Post IR,,Thursday,Grayce,normal,-
1638,7,Pay,,Wednesday,Evelin,normal,-
1639,1,Create PR,,Wednesday,Josef,normal,-
1639,2,Release PR,,Tuesday,Lourdes,normal,-
1639,3,Create PO,,Thursday,Hannah,normal,-
1639,4,Release PO,,Wednesday,Steve,normal,-
1639,5,Post GR,,Tuesday,Hannah,normal,-
1639,6,Post IR,,Thursday,Grayce,normal,-
1639,7,Pay,,Wednesday,Evelin,normal,-
1640,1,Create PR,,Wednesday,Josef,normal,-
1640,2,Release PR,,Tuesday,Lourdes,normal,-
1640,3,Create PO,,Thursday,Carmella,normal,-
1640,4,Release PO,,Thursday,Emily,normal,-
1640,5,Post GR,,Friday,Jack,normal,-
1640,6,Post IR,,Tuesday,Rossie,normal,-
1640,7,Pay,,Monday,Josef,normal,-
1641,1,Create PR,,Wednesday,Josef,normal,-
1641,2,Release PR,,Wednesday,Jack,normal,-
1641,3,Create PO,,Tuesday,Seth,normal,-
1641,4,Approve PO 1,,Friday,Howard,normal,-
1641,5,Approve PO 2,,Monday,Sharee,normal,-
1641,6,Approve PO 3,,Thursday,Jamika,normal,-
1641,7,Release PO,,Friday,Roseanne,normal,-
1641,8,Post GR,,Wednesday,Evelin,normal,-
1641,9,Post IR,,Tuesday,Rossie,normal,-
1641,10,Pay,,Tuesday,Jimmy,normal,-
1642,1,Post GR,,Friday,Hannah,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1642,2,Create PR,,Thursday,Donald,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1642,3,Release PR,,Wednesday,Lourdes,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1642,4,Create PO,,Thursday,Micheline,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1642,5,Release PO,,Monday,Rossana,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1642,6,Post IR,,Thursday,Frances,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1642,7,Pay,,Wednesday,Roy,anomalous,"{'shift_from': 5, 'shift_to': 0, 'size': 1}"
1643,1,Create PR,,Thursday,Donald,normal,-
1643,2,Release PR,,Tuesday,Jack,normal,-
1643,3,Create PO,,Monday,Alpha,normal,-
1643,4,Approve PO 1,,Tuesday,Anna,normal,-
1643,5,Release PO,,Monday,Hugo,normal,-
1643,6,Post GR,,Thursday,Hannah,normal,-
1643,7,Post IR,,Thursday,Grayce,normal,-
1643,8,Pay,,Wednesday,Evelin,normal,-
1644,1,Create PR,,Wednesday,Josef,normal,-
1644,2,Release PR,,Wednesday,Lourdes,normal,-
1644,3,Create PO,,Thursday,Micheline,normal,-
1644,4,Release PO,,Monday,Rossana,normal,-
1644,5,Post GR,,Thursday,Hannah,normal,-
1644,6,Post IR,,Monday,Sherlene,normal,-
1644,7,Pay,,Wednesday,Roy,normal,-
1645,1,Create PR,,Thursday,Donald,normal,-
1645,2,Release PR,,Wednesday,Lourdes,normal,-
1645,3,Create PO,,Tuesday,Seth,normal,-
1645,4,Approve PO 1,,Monday,Howard,normal,-
1645,5,Approve PO 2,,Friday,Wilton,normal,-
1645,6,Release PO,,Thursday,Emily,normal,-
1645,7,Post GR,,Monday,Hannah,normal,-
