case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1603,1,Create PR,,Cape Verde,Wednesday,Keven,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1603,2,Create PO,,Mexico,Wednesday,Alyce,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1603,3,Release PO,,Guinea,Wednesday,Craig,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1603,4,Post GR,,Guam,Thursday,Keven,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1603,5,Post IR,,French Southern Territories,Thursday,Roy,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1603,6,Release PR,,Ukraine,Monday,Donald,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1603,7,Pay,,Kazakhstan,Friday,Vickie,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1604,1,Create PR,,Guam,Tuesday,Keven,normal,-
1604,2,Release PR,,Ukraine,Monday,Donald,normal,-
1604,3,Create PO,,Botswana,Friday,Lisa,normal,-
1604,4,Approve PO 1,,Georgia,Monday,Clayton,normal,-
1604,5,Approve PO 2,,Bolivia,Wednesday,Brant,normal,-
1604,6,Approve PO 3,,Congo,Thursday,Lisa,normal,-
1604,7,Release PO,,Portugal,Tuesday,Della,normal,-
1604,8,Post GR,,"Palestinian Territory, Occupied",Thursday,Jin,normal,-
1604,9,Post IR,,Guadeloupe,Tuesday,Chan,normal,-
1604,10,Pay,,Saint Lucia,Tuesday,Josef,normal,-
1605,1,Create PR,,Cape Verde,Wednesday,Keven,normal,-
1605,2,Release PR,,Central African Republic,Tuesday,Donald,normal,-
1605,3,Create PO,,Botswana,Thursday,Josef,normal,-
1605,4,Approve PO 1,,Netherlands,Monday,Clayton,normal,-
1605,5,Approve PO 2,,Saudi Arabia,Friday,Emily,normal,-
1605,6,Release PO,,Saint Lucia,Friday,Della,normal,-
1605,7,Post GR,,Guatemala,Friday,James,normal,-
1605,8,Post IR,,Guadeloupe,Tuesday,Chan,normal,-
1605,9,Pay,,Botswana,Friday,Josef,normal,-
1606,1,Create PR,,Cape Verde,Wednesday,Keven,normal,-
1606,2,Release PR,,Ukraine,Monday,Donald,normal,-
1606,3,Create PO,,Mexico,Wednesday,Alyce,normal,-
1606,4,Release PO,,Guinea,Wednesday,Hugo,normal,-
1606,5,Post GR,,Guatemala,Monday,Jin,normal,-
1606,6,Post IR,,French Southern Territories,Thursday,Roy,normal,-
1606,7,Pay,,Kazakhstan,Friday,Vickie,normal,-
1607,1,Create SC,,Mali,Friday,Alyce,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,2,Post GR,,Belarus,Monday,Anna,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,3,Post IR,,French Southern Territories,Thursday,Roy,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,4,Purchase SC,,Peru,Friday,Lucy,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,5,Approve SC,,Heard Island & Mcdonald Islands,Wednesday,Sandra,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,6,Create PO,,Afghanistan,Wednesday,Josef,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,7,Release PO,,Netherlands,Thursday,Elisha,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1607,8,Pay,,Nauru,Thursday,Elisha,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 2}"
1608,1,Create SC,,Mali,Friday,Alyce,normal,-
1608,2,Purchase SC,,Peru,Wednesday,Hassie,normal,-
1608,3,Approve SC,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1608,4,Create PO,,Afghanistan,Thursday,Josef,normal,-
1608,5,Release PO,,Netherlands,Thursday,Elisha,normal,-
1608,6,Post GR,,Belarus,Monday,Anna,normal,-
1608,7,Post IR,,Puerto Rico,Wednesday,Roy,normal,-
1608,8,Pay,,Nauru,Thursday,Elisha,normal,-
1609,1,Create PR,,Guam,Wednesday,Keven,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1609,2,Release PR,,Ukraine,Monday,Donald,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1609,3,Approve PO 2,,Saudi Arabia,Wednesday,Elisha,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1609,4,Release PO,,Chile,Friday,Tiffiny,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1609,5,Post GR,,Mauritania,Tuesday,Lourdes,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1609,6,Post IR,,French Southern Territories,Thursday,Roy,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1609,7,Pay,,Kazakhstan,Friday,Vickie,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Create PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling', 'day': 'Thursday', 'country': 'Botswana'}}, {'name': 'Approve PO 1', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Evelin', 'day': 'Thursday', 'country': 'Faroe Islands'}}]}"
1610,1,Create PR,,Guam,Tuesday,Keven,normal,-
1610,2,Release PR,,Ukraine,Monday,Donald,normal,-
1610,3,Create PO,,Botswana,Thursday,Ling,normal,-
1610,4,Approve PO 1,,Guadeloupe,Thursday,Steve,normal,-
1610,5,Approve PO 2,,"Palestinian Territory, Occupied",Friday,Brian,normal,-
1610,6,Approve PO 3,,Macedonia,Wednesday,Della,normal,-
1610,7,Release PO,,Bermuda,Friday,Junior,normal,-
1610,8,Post GR,,Guatemala,Tuesday,Jin,normal,-
1610,9,Post IR,,Puerto Rico,Wednesday,Roy,normal,-
1610,10,Pay,,Kazakhstan,Friday,Vickie,normal,-
1611,1,Create PR,,Guam,Wednesday,Keven,normal,-
1611,2,Release PR,,Ukraine,Monday,Donald,normal,-
1611,3,Create PO,,Mexico,Thursday,Alyce,normal,-
1611,4,Release PO,,Netherlands,Thursday,Elisha,normal,-
1611,5,Post GR,,Belarus,Monday,Anna,normal,-
1611,6,Post IR,,Sao Tome And Principe,Monday,Roy,normal,-
1611,7,Pay,,Nauru,Thursday,Elisha,normal,-
1612,1,Create PR,,Guam,Wednesday,Keven,anomalous,"{'size': 3, 'start': 7, 'inserted': [{'name': 'Release PO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Craig', 'day': 'Wednesday', 'country': 'Micronesia, Federated States Of'}}, {'name': 'Post GR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny', 'day': 'Monday', 'country': 'Guatemala'}}, {'name': 'Post IR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roy', 'day': 'Thursday', 'country': 'French Southern Territories'}}]}"
