case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1660,1,Create SC,,Toughzap,Senegal,Thursday,Jamika,normal,-
1660,2,Purchase SC,,Betatech,Israel,Friday,Amanda,normal,-
1660,3,Approve SC,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1660,4,Create PO,,Statholdings,New Caledonia,Wednesday,Ryan,normal,-
1660,5,Release PO,,Betatech,France,Tuesday,Hannah,normal,-
1660,6,Post GR,,Lexiqvolax,Denmark,Tuesday,Gema,normal,-
1660,7,Post IR,,Fasehatice,Marshall Islands,Wednesday,Ronald,normal,-
1660,8,Pay,,Rundofase,Montserrat,Friday,Seth,normal,-
1661,1,Create PR,,Singletechno,Eritrea,Thursday,Charles,normal,-
1661,2,Release PR,,Bioholding,Zimbabwe,Tuesday,Jin,normal,-
1661,3,Create PO,,Zathunicon,"Palestinian Territory, Occupied",Wednesday,Lucy,normal,-
1661,4,Release PO,,Betatech,France,Tuesday,Hannah,normal,-
1661,5,Post GR,,Zumgoity,Denmark,Monday,Clayton,normal,-
1661,6,Post IR,,Dontechi,Jersey,Tuesday,Ronald,normal,-
1661,7,Pay,,Rundofase,Montserrat,Friday,Seth,normal,-
1662,1,Create PR,,Kan-code,United States,Wednesday,Lannie,normal,-
1662,2,Release PR,,Bioholding,Zimbabwe,Tuesday,Iluminada,normal,-
1662,3,Create PO,,Condax,Haiti,Tuesday,Chan,normal,-
1662,4,Approve PO 1,,Rundofase,Zambia,Tuesday,Jin,normal,-
1662,5,Approve PO 2,,Hatfan,Venezuela,Tuesday,Johnny,normal,-
1662,6,Approve PO 3,,Plusstrip,Fiji,Tuesday,Amanda,normal,-
1662,7,Release PO,,Betatech,France,Tuesday,Hannah,normal,-
1662,8,Post GR,,Zumgoity,Denmark,Tuesday,Gema,normal,-
1662,9,Post IR,,Fasehatice,Marshall Islands,Wednesday,Ronald,normal,-
1662,10,Pay,,Rundofase,Montserrat,Friday,Seth,normal,-
1663,1,Create SC,,Toughzap,Senegal,Thursday,Jamika,normal,-
1663,2,Purchase SC,,Betatech,Israel,Friday,Amanda,normal,-
1663,3,Approve SC,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1663,4,Create PO,,Sumace,New Caledonia,Friday,Sherell,normal,-
1663,5,Release PO,,Betatech,France,Tuesday,Hannah,normal,-
1663,6,Post GR,,Plussunin,"Congo, Democratic Republic",Thursday,Sharee,normal,-
1663,7,Post IR,,Inity,Guatemala,Tuesday,Hassie,normal,-
1663,8,Pay,,Zencorporation,Estonia,Tuesday,Pam,normal,-
1664,1,Create SC,,Toughzap,Senegal,Thursday,Deloras,normal,-
1664,2,Purchase SC,,Betatech,Israel,Friday,Amanda,normal,-
1664,3,Approve SC,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1664,4,Create PO,,Statholdings,New Caledonia,Wednesday,Ryan,normal,-
1664,5,Release PO,,Betatech,France,Wednesday,Doretta,normal,-
1664,6,Post GR,,Sumace,"Congo, Democratic Republic",Tuesday,Sharee,normal,-
1664,7,Post IR,,Bioholding,Libyan Arab Jamahiriya,Thursday,Lannie,normal,-
1664,8,Pay,,Scotfind,Madagascar,Tuesday,Howard,normal,-
1665,1,Create SC,,Toughzap,Senegal,Thursday,Deloras,normal,-
1665,2,Purchase SC,,Betatech,Israel,Friday,Amanda,normal,-
1665,3,Approve SC,,Stanredtax,Saint Lucia,Monday,Earl,normal,-
1665,4,Create PO,,Statholdings,New Caledonia,Tuesday,Maryellen,normal,-
1665,5,Release PO,,Betatech,France,Wednesday,Doretta,normal,-
1665,6,Post GR,,Lexiqvolax,Denmark,Tuesday,Gema,normal,-
1665,7,Post IR,,Dontechi,Jersey,Tuesday,Ronald,normal,-
1665,8,Pay,,Rundofase,Montserrat,Friday,Seth,normal,-
1666,1,Create SC,,Toughzap,Senegal,Thursday,Deloras,normal,-
1666,2,Purchase SC,,Betatech,Burundi,Friday,Amanda,normal,-
1666,3,Approve SC,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1666,4,Create PO,,Xx-holding,Iraq,Thursday,Grayce,normal,-
1666,5,Approve PO 1,,Xx-holding,French Southern Territories,Friday,Alyce,normal,-
1666,6,Release PO,,Faxquote,Burundi,Tuesday,Brant,normal,-
1666,7,Post GR,,Lexiqvolax,Denmark,Wednesday,Gema,normal,-
1666,8,Post IR,,Labdrill,"Virgin Islands, British",Friday,Sharee,normal,-
