case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1661,1,Activity A,,Wednesday,Gema,normal,-
1661,2,Activity B,,Tuesday,Hannah,normal,-
1661,3,Activity C,,Wednesday,Joe,normal,-
1661,4,Activity D,,Monday,Grayce,normal,-
1661,5,Activity E,,Monday,Hassie,normal,-
1661,6,Activity K,,Tuesday,Howard,normal,-
1661,7,Activity O,,Friday,Wilton,normal,-
1661,8,Activity P,,Wednesday,Brian,normal,-
1661,9,Activity L,,Friday,Frances,normal,-
1661,10,Activity F,,Wednesday,Roy,normal,-
1662,1,Activity A,,Wednesday,Gema,normal,-
1662,2,Activity B,,Friday,Hannah,normal,-
1662,3,Activity C,,Thursday,Craig,normal,-
1662,4,Activity D,,Friday,Ling,normal,-
1662,5,Activity E,,Monday,Hassie,normal,-
1662,6,Activity K,,Friday,Hugo,normal,-
1662,7,Activity M,,Monday,Iluminada,normal,-
1662,8,Activity N,,Monday,Hannah,normal,-
1662,9,Activity L,,Tuesday,Charles,normal,-
1662,10,Activity F,,Monday,Josef,normal,-
1663,1,Activity A,,Thursday,Gema,normal,-
1663,2,Activity B,,Tuesday,Hannah,normal,-
1663,3,Activity C,,Wednesday,Joe,normal,-
1663,4,Activity D,,Monday,Grayce,normal,-
1663,5,Activity E,,Wednesday,Rossana,normal,-
1663,6,Activity T,,Monday,Della,normal,-
1663,7,Activity F,,Thursday,Roy,normal,-
1664,1,Activity A,,Thursday,Gema,normal,-
1664,2,Activity B,,Friday,Hannah,normal,-
1664,3,Activity C,,Wednesday,Joe,normal,-
1664,4,Activity D,,Monday,Grayce,normal,-
1664,5,Activity E,,Wednesday,Rossana,normal,-
1664,6,Activity T,,Wednesday,Charles,normal,-
1664,7,Activity F,,Thursday,Charles,normal,-
