case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1621,1,Activity A,,Mali,Friday,Seth,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,2,Activity B,,Cuba,Friday,Lucy,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,3,Activity I,,Guam,Tuesday,Carmella,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,4,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,5,Activity D,,San Marino,Tuesday,Elisha,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,6,Activity E,,Faroe Islands,Thursday,Joe,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,7,Activity G,,Saudi Arabia,Wednesday,Paul,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,8,Activity H,,Portugal,Tuesday,Della,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,9,Activity J,,Antarctica,Friday,Chan,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1621,10,Activity F,,Saint Lucia,Tuesday,Josef,anomalous,"{'shift_from': 8, 'shift_to': 2, 'size': 1}"
1622,1,Activity A,,Mali,Friday,Seth,normal,-
1622,2,Activity B,,Peru,Friday,Lucy,normal,-
1622,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1622,4,Activity D,,San Marino,Thursday,Emily,normal,-
1622,5,Activity E,,Chad,Wednesday,Deloras,normal,-
1622,6,Activity T,,Puerto Rico,Thursday,Brian,normal,-
1622,7,Activity F,,Guam,Tuesday,Emily,normal,-
1623,1,Activity A,,Mali,Friday,Seth,normal,-
1623,2,Activity B,,Mozambique,Tuesday,Lucy,normal,-
1623,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1623,4,Activity D,,San Marino,Thursday,Emily,normal,-
1623,5,Activity E,,Gambia,Thursday,Evelin,normal,-
1623,6,Activity T,,Egypt,Tuesday,Brian,normal,-
1623,7,Activity F,,Guam,Thursday,Emily,normal,-
1624,1,Activity A,,Mali,Friday,Seth,normal,-
1624,2,Activity B,,Cuba,Friday,Lucy,normal,-
1624,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1624,4,Activity D,,San Marino,Thursday,Emily,normal,-
1624,5,Activity E,,Georgia,Monday,Ling,normal,-
1624,6,Activity G,,Saudi Arabia,Wednesday,Paul,normal,-
1624,7,Activity H,,Portugal,Tuesday,Della,normal,-
1624,8,Activity I,,Guam,Thursday,Keven,normal,-
1624,9,Activity J,,Antarctica,Friday,Chan,normal,-
1624,10,Activity F,,Saint Lucia,Tuesday,Josef,normal,-
1625,1,Activity A,,Mali,Friday,Seth,normal,-
1625,2,Activity B,,Peru,Friday,Lucy,normal,-
1625,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1625,4,Activity D,,San Marino,Thursday,Emily,normal,-
1625,5,Activity E,,Bolivia,Monday,Lannie,normal,-
1625,6,Activity K,,Kuwait,Wednesday,Lisa,normal,-
1625,7,Activity M,,Guadeloupe,Monday,Jin,normal,-
1625,8,Activity N,,Afghanistan,Friday,Johnny,normal,-
1625,9,Activity L,,Indonesia,Tuesday,Sigrid,normal,-
1625,10,Activity F,,Suriname,Monday,Johnny,normal,-
1626,1,Activity A,,Mali,Friday,Seth,normal,-
1626,2,Activity B,,Mozambique,Friday,Lucy,normal,-
1626,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Micheline,normal,-
1626,4,Activity D,,San Marino,Thursday,Emily,normal,-
1626,5,Activity E,,Gambia,Thursday,Evelin,normal,-
1626,6,Activity T,,Finland,Tuesday,Sigrid,normal,-
1626,7,Activity F,,Reunion,Wednesday,Howard,normal,-
1627,1,Activity A,,Mali,Friday,Seth,normal,-
1627,2,Activity B,,Peru,Friday,Lucy,normal,-
1627,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1627,4,Activity D,,San Marino,Tuesday,Elisha,normal,-
1627,5,Activity E,,Georgia,Monday,Ling,normal,-
1627,6,Activity G,,Saudi Arabia,Friday,Emily,normal,-
1627,7,Activity H,,Portugal,Tuesday,Della,normal,-
1627,8,Activity I,,Antigua And Barbuda,Friday,Carmella,normal,-
1627,9,Activity J,,Guadeloupe,Tuesday,Chan,normal,-
1627,10,Activity F,,Saint Lucia,Tuesday,Josef,normal,-
1628,1,Activity A,,Mali,Friday,Seth,normal,-
1628,2,Activity B,,Mozambique,Friday,Lucy,normal,-
1628,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1628,4,Activity D,,San Marino,Thursday,Emily,normal,-
1628,5,Activity E,,Faroe Islands,Thursday,Joe,normal,-
1628,6,Activity G,,Saudi Arabia,Wednesday,Elisha,normal,-
1628,7,Activity H,,Portugal,Tuesday,Della,normal,-
1628,8,Activity I,,Guam,Friday,Carmella,normal,-
1628,9,Activity J,,Antarctica,Friday,Chan,normal,-
1628,10,Activity F,,Saint Lucia,Tuesday,Josef,normal,-
1629,1,Activity A,,Mali,Wednesday,Elisha,normal,-
1629,2,Activity B,,Peru,Friday,Lucy,normal,-
1629,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,normal,-
1629,4,Activity D,,San Marino,Thursday,Emily,normal,-
1629,5,Activity E,,Chad,Wednesday,Deloras,normal,-
1629,6,Activity T,,Finland,Tuesday,Brian,normal,-
1629,7,Activity F,,Guam,Tuesday,Emily,normal,-
1630,1,Activity A,,Mali,Friday,Seth,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra', 'day': 'Wednesday', 'country': 'Heard Island & Mcdonald Islands'}}, {'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Emily', 'day': 'Thursday', 'country': 'San Marino'}}]}"
1630,2,Activity B,,Mozambique,Tuesday,Lucy,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra', 'day': 'Wednesday', 'country': 'Heard Island & Mcdonald Islands'}}, {'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Emily', 'day': 'Thursday', 'country': 'San Marino'}}]}"
1630,3,Activity C,,Heard Island & Mcdonald Islands,Wednesday,Sandra,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra', 'day': 'Wednesday', 'country': 'Heard Island & Mcdonald Islands'}}, {'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Emily', 'day': 'Thursday', 'country': 'San Marino'}}]}"
1630,4,Activity D,,San Marino,Thursday,Emily,anomalous,"{'size': 2, 'start': 8, 'inserted': [{'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra', 'day': 'Wednesday', 'country': 'Heard Island & Mcdonald Islands'}}, {'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Emily', 'day': 'Thursday', 'country': 'San Marino'}}]}"
