case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1679,1,Activity A,,Toughzap,Peru,Monday,Sonia,normal,-
1679,2,Activity B,,Rundofase,Israel,Monday,Jack,normal,-
1679,3,Activity C,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1679,4,Activity D,,Condax,Ghana,Monday,Maryellen,normal,-
1679,5,Activity E,,Hatfan,Macao,Wednesday,Johnny,normal,-
1679,6,Activity K,,Isdom,Poland,Tuesday,Lannie,normal,-
1679,7,Activity O,,Donquadtech,United Arab Emirates,Thursday,Vickie,normal,-
1679,8,Activity P,,Nam-zim,Montenegro,Monday,Velda,normal,-
1679,9,Activity L,,Xx-holding,Eritrea,Tuesday,Johnny,normal,-
1679,10,Activity F,,Zencorporation,Estonia,Tuesday,Pam,normal,-
1680,1,Activity A,,Yearin,India,Wednesday,Hugo,normal,-
1680,2,Activity B,,Rundofase,Israel,Friday,Amanda,normal,-
1680,3,Activity C,,Stanredtax,Saint Lucia,Tuesday,Earl,normal,-
1680,4,Activity D,,Condax,Ghana,Monday,Maryellen,normal,-
1680,5,Activity E,,Hatfan,Vanuatu,Wednesday,Johnny,normal,-
1680,6,Activity K,,Isdom,Norfolk Island,Wednesday,Lannie,normal,-
1680,7,Activity O,,Rantouch,Gibraltar,Thursday,Vickie,normal,-
1680,8,Activity P,,Nam-zim,Solomon Islands,Thursday,Velda,normal,-
1680,9,Activity L,,Xx-holding,Spain,Tuesday,Johnny,normal,-
1680,10,Activity F,,Zencorporation,Estonia,Wednesday,Gema,normal,-
1681,1,Activity A,,Toughzap,Peru,Monday,Sonia,normal,-
1681,2,Activity B,,Rundofase,Israel,Monday,Jack,normal,-
1681,3,Activity C,,Stanredtax,French Polynesia,Monday,Earl,normal,-
1681,4,Activity D,,Condax,Ghana,Monday,Maryellen,normal,-
1681,5,Activity E,,Gogozoom,Venezuela,Monday,Sharee,normal,-
1681,6,Activity T,,Fasehatice,Marshall Islands,Wednesday,Amanda,normal,-
1681,7,Activity F,,Zathunicon,Trinidad And Tobago,Wednesday,Steve,normal,-
1682,1,Activity A,,Yearin,India,Wednesday,Hugo,normal,-
1682,2,Activity B,,Rundofase,Israel,Monday,Jack,normal,-
1682,3,Activity C,,Stanredtax,Saint Lucia,Monday,Earl,normal,-
1682,4,Activity D,,Condax,Ghana,Monday,Maryellen,normal,-
1682,5,Activity E,,Hatfan,Samoa,Tuesday,Johnny,normal,-
1682,6,Activity K,,year-job,Spain,Wednesday,Brian,normal,-
1682,7,Activity R,,Donquadtech,Macedonia,Thursday,Roseanne,normal,-
1682,8,Activity S,,year-job,"Virgin Islands, British",Tuesday,Hoyt,normal,-
1682,9,Activity L,,Scottech,Chad,Tuesday,Sandra,normal,-
1682,10,Activity F,,Zathunicon,Portugal,Friday,Steve,normal,-
1683,1,Activity A,,Yearin,India,Wednesday,Hugo,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1683,2,Activity C,,Stanredtax,French Polynesia,Monday,Earl,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1683,3,Activity D,,Condax,Ghana,Monday,Maryellen,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1683,4,Activity E,,Gogozoom,Venezuela,Monday,Sharee,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1683,5,Activity T,,Fasehatice,Marshall Islands,Tuesday,Ronald,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1683,6,Activity B,,Rundofase,Israel,Monday,Jack,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1683,7,Activity F,,Zathunicon,Portugal,Friday,Steve,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 1}"
1684,1,Activity A,,Yearin,India,Wednesday,Hugo,normal,-
1684,2,Activity B,,Rundofase,Israel,Monday,Jack,normal,-
1684,3,Activity C,,Stanredtax,French Polynesia,Monday,Earl,normal,-
1684,4,Activity D,,Condax,Ghana,Monday,Maryellen,normal,-
1684,5,Activity E,,Zumgoity,Cyprus,Monday,Sharee,normal,-
1684,6,Activity T,,Funholding,Vanuatu,Wednesday,Amanda,normal,-
1684,7,Activity F,,Zathunicon,Portugal,Friday,Steve,normal,-
1685,1,Activity A,,Yearin,India,Wednesday,Hugo,normal,-
1685,2,Activity B,,Betatech,Burundi,Friday,Amanda,normal,-
