case_id,event_position,activity_name,timestamp,user,label,anomaly_description
1527,1,Activity A,,Della,normal,-
1527,2,Activity N,,Earl,normal,-
1527,3,Activity P,,Emily,normal,-
1527,4,Activity Q,,Della,normal,-
1527,5,Activity O,,Frances,normal,-
1527,6,Activity B,,Donald,normal,-
1528,1,Activity A,,Alyce,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,2,Activity N,,Brant,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,3,Activity AG,,Sandra,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,4,Activity AH,,Jamika,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,5,Activity O,,Howard,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,6,Activity B,,Tiffiny,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,7,Activity N,,Brant,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1528,8,Activity AG,,Sandra,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
1529,1,Activity A,,Della,normal,-
1529,2,Activity N,,Roseanne,normal,-
1529,3,Activity Y,,Junior,normal,-
1529,4,Activity AB,,Amanda,normal,-
1529,5,Activity Z,,Keven,normal,-
1529,6,Activity O,,Keven,normal,-
1529,7,Activity B,,Grayce,normal,-
1530,1,Activity A,,Alyce,normal,-
1530,2,Activity N,,Roy,normal,-
1530,3,Activity AE,,Hoyt,normal,-
1530,4,Activity AF,,Rossie,normal,-
1530,5,Activity O,,Jamika,normal,-
1530,6,Activity B,,Melany,normal,-
1531,1,Activity A,,Della,normal,-
1531,2,Activity N,,Roy,normal,-
1531,3,Activity AE,,Hoyt,normal,-
1531,4,Activity AF,,Rossie,normal,-
1531,5,Activity O,,Issac,normal,-
1531,6,Activity B,,Melany,normal,-
1532,1,Activity AF,,Rossie,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
1532,2,Activity A,,Della,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
1532,3,Activity N,,Roy,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
1532,4,Activity AE,,Hoyt,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
1532,5,Activity O,,Junior,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
1532,6,Activity B,,Donald,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
1533,1,Activity A,,Della,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,2,Activity N,,Hassie,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,3,Activity AG,,Sandra,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,4,Activity AH,,Jamika,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,5,Activity O,,Howard,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,6,Activity B,,Tiffiny,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,7,Activity O,,Howard,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1533,8,Activity B,,Tiffiny,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
1534,1,Activity A,,Della,normal,-
1534,2,Activity N,,Roseanne,normal,-
1534,3,Activity P,,Emily,normal,-
1534,4,Activity Q,,Della,normal,-
1534,5,Activity O,,Charles,normal,-
1534,6,Activity B,,Sigrid,normal,-
1535,1,Activity A,,Della,normal,-
1535,2,Activity N,,Roseanne,normal,-
1535,3,Activity Y,,Brian,normal,-
1535,4,Activity AA,,Frances,normal,-
1535,5,Activity Z,,Keven,normal,-
1535,6,Activity O,,Charles,normal,-
1535,7,Activity B,,Howard,normal,-
1536,1,Activity A,,Della,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1536,2,Activity N,,Iluminada,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1536,3,Activity R,,Sherell,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1536,4,Activity U,,Ling,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1536,5,Activity S,,Alyce,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1536,6,Activity O,,Amanda,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1536,7,Activity B,,Tiffiny,anomalous,"{'index': [1, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Doretta', 'Hoyt']}"
1537,1,Activity A,,Alyce,normal,-
1537,2,Activity N,,Brant,normal,-
1537,3,Activity R,,Amanda,normal,-
1537,4,Activity X,,Johnny,normal,-
1537,5,Activity S,,Grayce,normal,-
1537,6,Activity O,,Hoyt,normal,-
1537,7,Activity B,,Deloras,normal,-
1538,1,Activity A,,Della,anomalous,"{'shift_from': 5, 'shift_to': 3, 'size': 1}"
1538,2,Activity N,,Lannie,anomalous,"{'shift_from': 5, 'shift_to': 3, 'size': 1}"
1538,3,Activity AG,,Sandra,anomalous,"{'shift_from': 5, 'shift_to': 3, 'size': 1}"
1538,4,Activity O,,Howard,anomalous,"{'shift_from': 5, 'shift_to': 3, 'size': 1}"
1538,5,Activity AH,,Jamika,anomalous,"{'shift_from': 5, 'shift_to': 3, 'size': 1}"
1538,6,Activity B,,Deloras,anomalous,"{'shift_from': 5, 'shift_to': 3, 'size': 1}"
1539,1,Activity A,,Della,normal,-
1539,2,Activity N,,Wilton,normal,-
1539,3,Activity Y,,Lourdes,normal,-
1539,4,Activity AD,,Brant,normal,-
1539,5,Activity Z,,Keven,normal,-
1539,6,Activity O,,Hugo,normal,-
1539,7,Activity B,,Melany,normal,-
1540,1,Activity A,,Della,normal,-
1540,2,Activity N,,Brant,normal,-
1540,3,Activity AG,,Sandra,normal,-
1540,4,Activity AH,,Jamika,normal,-
1540,5,Activity O,,Howard,normal,-
1540,6,Activity B,,Tiffiny,normal,-
1541,1,Activity A,,Della,normal,-
1541,2,Activity N,,Alyce,normal,-
1541,3,Activity AE,,Hoyt,normal,-
1541,4,Activity AF,,Rossie,normal,-
1541,5,Activity O,,Junior,normal,-
1541,6,Activity B,,Deloras,normal,-
1542,1,Activity A,,Della,normal,-
1542,2,Activity N,,Roseanne,normal,-
1542,3,Activity Y,,Issac,normal,-
1542,4,Activity AD,,Brant,normal,-
1542,5,Activity Z,,Keven,normal,-
1542,6,Activity O,,Hugo,normal,-
1542,7,Activity B,,Melany,normal,-
