case_id,event_position,activity_name,timestamp,day,user,label,anomaly_description
1671,1,Activity A,,Monday,Michaele,normal,-
1671,2,Activity N,,Monday,Elisha,normal,-
1671,3,Activity Y,,Thursday,Johnny,normal,-
1671,4,Activity AD,,Friday,Hugo,normal,-
1671,5,Activity Z,,Thursday,Velda,normal,-
1671,6,Activity O,,Tuesday,Amanda,normal,-
1671,7,Activity B,,Friday,Roseanne,normal,-
1672,1,Activity A,,Friday,Micheline,anomalous,"{'index': [0, 0, 1, 2], 'attribute_index': [1, 0, 1, 0], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Gema', 'Wednesday', 'Della', 'Monday']}"
1672,2,Activity C,,Friday,Chan,anomalous,"{'index': [0, 0, 1, 2], 'attribute_index': [1, 0, 1, 0], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Gema', 'Wednesday', 'Della', 'Monday']}"
1672,3,Activity K,,Thursday,Emily,anomalous,"{'index': [0, 0, 1, 2], 'attribute_index': [1, 0, 1, 0], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Gema', 'Wednesday', 'Della', 'Monday']}"
1672,4,Activity D,,Thursday,Frances,anomalous,"{'index': [0, 0, 1, 2], 'attribute_index': [1, 0, 1, 0], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Gema', 'Wednesday', 'Della', 'Monday']}"
1672,5,Activity B,,Thursday,Keven,anomalous,"{'index': [0, 0, 1, 2], 'attribute_index': [1, 0, 1, 0], 'attribute': ['user', 'day', 'user', 'day'], 'original': ['Gema', 'Wednesday', 'Della', 'Monday']}"
1673,1,Activity A,,Wednesday,Michaele,normal,-
1673,2,Activity N,,Monday,Della,normal,-
1673,3,Activity AG,,Monday,Jamika,normal,-
1673,4,Activity AH,,Thursday,Donald,normal,-
1673,5,Activity O,,Wednesday,Earl,normal,-
1673,6,Activity B,,Monday,Jack,normal,-
1674,1,Activity A,,Wednesday,Gema,normal,-
1674,2,Activity C,,Friday,Keven,normal,-
1674,3,Activity K,,Monday,Emily,normal,-
1674,4,Activity D,,Thursday,Michaele,normal,-
1674,5,Activity B,,Tuesday,Roseanne,normal,-
1675,1,Activity A,,Monday,Michaele,anomalous,"{'shift_from': 2, 'shift_to': 3, 'size': 2}"
1675,2,Activity N,,Monday,Della,anomalous,"{'shift_from': 2, 'shift_to': 3, 'size': 2}"
1675,3,Activity O,,Wednesday,Earl,anomalous,"{'shift_from': 2, 'shift_to': 3, 'size': 2}"
1675,4,Activity AG,,Tuesday,Jamika,anomalous,"{'shift_from': 2, 'shift_to': 3, 'size': 2}"
1675,5,Activity AH,,Thursday,Donald,anomalous,"{'shift_from': 2, 'shift_to': 3, 'size': 2}"
1675,6,Activity B,,Friday,Roseanne,anomalous,"{'shift_from': 2, 'shift_to': 3, 'size': 2}"
