case_id,event_position,activity_name,timestamp,country,day,user,label,anomaly_description
1636,1,Activity A,,Mali,Friday,Seth,normal,-
1636,2,Activity C,,Cape Verde,Friday,Hoyt,normal,-
1636,3,Activity M,,Ukraine,Monday,Donald,normal,-
1636,4,Activity D,,Aland Islands,Tuesday,Jimmy,normal,-
1636,5,Activity B,,Cote D'Ivoire,Thursday,Craig,normal,-
1637,1,Activity A,,Mali,Wednesday,Seth,normal,-
1637,2,Activity C,,Romania,Thursday,Jimmy,normal,-
1637,3,Activity E,,Fiji,Monday,Maryellen,normal,-
1637,4,Activity I,,Cayman Islands,Tuesday,Josef,normal,-
1637,5,Activity F,,Luxembourg,Thursday,Shandi,normal,-
1637,6,Activity D,,Jamaica,Wednesday,Hugo,normal,-
1637,7,Activity B,,"Virgin Islands, British",Tuesday,Ryan,normal,-
1638,1,Activity A,,Mali,Wednesday,Seth,normal,-
1638,2,Activity C,,Nigeria,Tuesday,Rossana,normal,-
1638,3,Activity E,,Guadeloupe,Monday,Maryellen,normal,-
1638,4,Activity G,,Kazakhstan,Monday,Marilyn,normal,-
1638,5,Activity F,,Luxembourg,Thursday,Shandi,normal,-
1638,6,Activity D,,Jamaica,Friday,Wilton,normal,-
1638,7,Activity B,,Cote D'Ivoire,Thursday,Ryan,normal,-
1639,1,Activity A,,Mali,Wednesday,Seth,normal,-
1639,2,Activity C,,Cape Verde,Tuesday,James,normal,-
1639,3,Activity M,,Ukraine,Tuesday,Donald,normal,-
1639,4,Activity D,,Aland Islands,Tuesday,Sigrid,normal,-
1639,5,Activity B,,Cote D'Ivoire,Tuesday,Ryan,normal,-
1640,1,Activity A,,Malta,Monday,Sigrid,normal,-
1640,2,Activity N,,Gambia,Thursday,Evelin,normal,-
1640,3,Activity R,,Egypt,Monday,Josef,normal,-
1640,4,Activity W,,Comoros,Wednesday,Issac,normal,-
1640,5,Activity S,,Nepal,Friday,Steve,normal,-
1640,6,Activity O,,Somalia,Thursday,Pam,normal,-
1640,7,Activity B,,Lebanon,Monday,Rossana,normal,-
1641,1,Activity A,,Malta,Friday,Sigrid,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1641,2,Activity AB,,Philippines,Wednesday,Rossana,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1641,3,Activity Z,,Montserrat,Thursday,Jamika,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1641,4,Activity N,,Kyrgyzstan,Wednesday,Melany,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1641,5,Activity Y,,Cape Verde,Monday,Charles,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1641,6,Activity O,,Kuwait,Thursday,Marilyn,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1641,7,Activity B,,Jamaica,Monday,Lucy,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
1642,1,Activity A,,Italy,Tuesday,Sigrid,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe', 'day': 'Thursday', 'country': 'Liberia'}}]}"
1642,2,Activity N,,Moldova,Wednesday,Howard,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe', 'day': 'Thursday', 'country': 'Liberia'}}]}"
1642,3,Activity P,,Antigua And Barbuda,Friday,Melany,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe', 'day': 'Thursday', 'country': 'Liberia'}}]}"
1642,4,Activity Q,,Germany,Thursday,Lourdes,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe', 'day': 'Thursday', 'country': 'Liberia'}}]}"
1642,5,Activity B,,Grenada,Tuesday,Alyce,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Joe', 'day': 'Thursday', 'country': 'Liberia'}}]}"
1643,1,Activity A,,Mali,Wednesday,Seth,normal,-
1643,2,Activity C,,Cape Verde,Friday,Junior,normal,-
1643,3,Activity M,,Ukraine,Monday,Donald,normal,-
1643,4,Activity D,,Botswana,Friday,Howard,normal,-
1643,5,Activity B,,"Virgin Islands, British",Tuesday,Rossana,normal,-
1644,1,Activity A,,Indonesia,Tuesday,Sigrid,normal,-
1644,2,Activity N,,Moldova,Wednesday,Shandi,normal,-
1644,3,Activity P,,Saint Barthelemy,Friday,Michaele,normal,-
1644,4,Activity Q,,Germany,Thursday,Lourdes,normal,-
1644,5,Activity O,,Liberia,Thursday,Joe,normal,-
1644,6,Activity B,,Jamaica,Tuesday,Alyce,normal,-
1645,1,Activity A,,Indonesia,Monday,Sigrid,normal,-
1645,2,Activity N,,Moldova,Wednesday,Della,normal,-
1645,3,Activity P,,Netherlands,Wednesday,Michaele,normal,-
1645,4,Activity Q,,Germany,Thursday,Lourdes,normal,-
1645,5,Activity O,,Liberia,Thursday,Grayce,normal,-
1645,6,Activity B,,Luxembourg,Monday,Maryellen,normal,-
1646,1,Activity A,,Mali,Wednesday,Seth,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1646,2,Activity E,,Heard Island & Mcdonald Islands,Tuesday,Brian,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1646,3,Activity H,,San Marino,Tuesday,Sonia,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1646,4,Activity C,,Martinique,Thursday,Rossana,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1646,5,Activity F,,Luxembourg,Thursday,Shandi,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1646,6,Activity D,,Jamaica,Wednesday,Hugo,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1646,7,Activity B,,"Virgin Islands, British",Tuesday,Ryan,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
1647,1,Activity A,,Italy,Monday,Sigrid,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sonia', 'day': 'Wednesday', 'country': 'Moldova'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce', 'day': 'Tuesday', 'country': 'Luxembourg'}}]}"
1647,2,Activity N,,Guam,Thursday,Michaele,anomalous,"{'size': 2, 'start': 6, 'inserted': [{'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sonia', 'day': 'Wednesday', 'country': 'Moldova'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Alyce', 'day': 'Tuesday', 'country': 'Luxembourg'}}]}"
