case_id,event_position,activity_name,timestamp,company,country,day,user,label,anomaly_description
1661,1,Activity A,,Inity,Mauritania,Monday,Wilton,normal,-
1661,2,Activity N,,Codehow,Monaco,Thursday,Rossana,normal,-
1661,3,Activity AE,,Warephase,Netherlands Antilles,Tuesday,Vickie,normal,-
1661,4,Activity AF,,Openlane,Bahrain,Wednesday,Deloras,normal,-
1661,5,Activity O,,Kinnamplus,Serbia,Tuesday,Tiffiny,normal,-
1661,6,Activity B,,Betasoloin,Aland Islands,Tuesday,Della,normal,-
1662,1,Activity A,,Zoomit,Mauritania,Friday,Wilton,normal,-
1662,2,Activity N,,Openlane,Ireland,Wednesday,Tiffiny,normal,-
1662,3,Activity Y,,Rantouch,Saint Vincent And Grenadines,Wednesday,Tiffiny,normal,-
1662,4,Activity AA,,Xx-holding,Taiwan,Friday,Emily,normal,-
1662,5,Activity Z,,Treequote,Japan,Tuesday,Carmella,normal,-
1662,6,Activity O,,Lexiqvolax,Norway,Monday,Ronald,normal,-
1662,7,Activity B,,Xx-holding,French Southern Territories,Friday,Alyce,normal,-
1663,1,Activity A,,Yearin,Lithuania,Thursday,Deloras,normal,-
1663,2,Activity C,,Funholding,Romania,Friday,James,normal,-
1663,3,Activity E,,Xx-holding,South Africa,Friday,Issac,normal,-
1663,4,Activity J,,Plusstrip,Seychelles,Tuesday,Charles,normal,-
1663,5,Activity F,,Ron-tech,Estonia,Tuesday,Pam,normal,-
1663,6,Activity D,,Nam-zim,Holy See (Vatican City State),Tuesday,Joe,normal,-
1663,7,Activity B,,Sumace,New Caledonia,Wednesday,Alpha,normal,-
1664,1,Activity A,,Yearin,Lithuania,Thursday,Deloras,normal,-
1664,2,Activity C,,Faxquote,Burundi,Tuesday,Brant,normal,-
1664,3,Activity M,,Scottech,Norway,Wednesday,Lannie,normal,-
1664,4,Activity D,,Ganjaflex,Panama,Monday,Brant,normal,-
1664,5,Activity B,,Sumace,New Caledonia,Thursday,Sigrid,normal,-
1665,1,Activity A,,Inity,Mauritania,Thursday,Brian,normal,-
1665,2,Activity N,,Y-corporation,Uzbekistan,Monday,Marilyn,normal,-
1665,3,Activity R,,Betatech,Guam,Thursday,Jin,normal,-
1665,4,Activity X,,Doncon,Singapore,Monday,Lisa,normal,-
1665,5,Activity S,,Plusstrip,United States,Monday,Issac,normal,-
1665,6,Activity O,,Xx-zobam,"Virgin Islands, British",Tuesday,Alpha,normal,-
1665,7,Activity B,,Zencorporation,American Samoa,Monday,Brian,normal,-
1666,1,Activity A,,year-job,Mauritania,Friday,Wilton,normal,-
1666,2,Activity N,,Openlane,Sao Tome And Principe,Tuesday,Tiffiny,normal,-
1666,3,Activity Y,,Rantouch,Saint Vincent And Grenadines,Tuesday,Tiffiny,normal,-
1666,4,Activity AA,,Xx-holding,Taiwan,Monday,Doretta,normal,-
1666,5,Activity Z,,Treequote,Japan,Wednesday,Carmella,normal,-
1666,6,Activity O,,Xx-zobam,Western Sahara,Tuesday,James,normal,-
1666,7,Activity B,,Zencorporation,American Samoa,Monday,Brian,normal,-
1667,1,Activity A,,Yearin,Lithuania,Thursday,Jamika,normal,-
1667,2,Activity C,,Sumace,Norfolk Island,Friday,Marilyn,normal,-
1667,3,Activity K,,Donquadtech,United Arab Emirates,Thursday,Vickie,normal,-
1667,4,Activity D,,Iselectrics,Seychelles,Thursday,Pam,normal,-
1667,5,Activity B,,Xx-holding,French Southern Territories,Friday,Anna,normal,-
1668,1,Activity A,,Yearin,Lithuania,Thursday,Jamika,normal,-
1668,2,Activity C,,Sumace,Norfolk Island,Friday,Marilyn,normal,-
1668,3,Activity K,,Rantouch,Gibraltar,Thursday,Vickie,normal,-
1668,4,Activity D,,Ganjaflex,Panama,Monday,Brant,normal,-
1668,5,Activity B,,Sumace,New Caledonia,Friday,Sigrid,normal,-
1669,1,Activity A,,Zoomit,Spain,Tuesday,Wilton,normal,-
1669,2,Activity N,,Y-corporation,Uzbekistan,Tuesday,Hannah,normal,-
1669,3,Activity R,,Zumgoity,Falkland Islands (Malvinas),Thursday,Shandi,normal,-
1669,4,Activity T,,Streethex,Canada,Friday,Della,normal,-
1669,5,Activity S,,Plusstrip,United States,Monday,Issac,normal,-
1669,6,Activity O,,Xx-zobam,"Virgin Islands, British",Tuesday,James,normal,-
1669,7,Activity B,,Newex,American Samoa,Monday,Brian,normal,-
1670,1,Activity A,,Zoomit,Mauritania,Tuesday,Brian,normal,-
1670,2,Activity N,,Cancity,Montserrat,Friday,Jamika,normal,-
1670,3,Activity P,,Ron-tech,Mayotte,Monday,Lourdes,normal,-
1670,4,Activity Q,,Toughzap,Cook Islands,Tuesday,Lucy,normal,-
1670,5,Activity O,,year-job,Marshall Islands,Wednesday,Rossie,normal,-
1670,6,Activity B,,Xx-holding,Bhutan,Thursday,Lourdes,normal,-
1671,1,Activity A,,Inity,Mauritania,Friday,Brian,normal,-
1671,2,Activity N,,Fasehatice,Uzbekistan,Monday,Marilyn,normal,-
1671,3,Activity R,,Betatech,Madagascar,Thursday,Sharee,normal,-
1671,4,Activity X,,Doncon,Singapore,Monday,Iluminada,normal,-
1671,5,Activity S,,Plusstrip,"Palestinian Territory, Occupied",Tuesday,Pam,normal,-
1671,6,Activity O,,Xx-zobam,"Virgin Islands, British",Tuesday,Issac,normal,-
1671,7,Activity B,,Zencorporation,American Samoa,Monday,Brian,normal,-
1672,1,Activity A,,Yearin,Lithuania,Thursday,Jamika,normal,-
1672,2,Activity C,,Sumace,Norfolk Island,Monday,Marilyn,normal,-
1672,3,Activity K,,Donquadtech,United Arab Emirates,Thursday,Vickie,normal,-
1672,4,Activity D,,Ganjaflex,Panama,Monday,Brant,normal,-
1672,5,Activity B,,Sumace,New Caledonia,Thursday,Alpha,normal,-
1673,1,Activity A,,Zoomit,Spain,Tuesday,Wilton,anomalous,{'indices': [1]}
1673,2,Random activity 29,,Random company 50,Random country 228,Random day 1,Random user 51,anomalous,{'indices': [1]}
1673,3,Activity N,,Codehow,Monaco,Thursday,Rossana,anomalous,{'indices': [1]}
1673,4,Activity AE,,Warephase,Netherlands Antilles,Tuesday,Vickie,anomalous,{'indices': [1]}
1673,5,Activity AF,,Openlane,Algeria,Monday,Deloras,anomalous,{'indices': [1]}
1673,6,Activity O,,Green-Plus,Macao,Tuesday,Donald,anomalous,{'indices': [1]}
1673,7,Activity B,,Betasoloin,Aland Islands,Tuesday,Della,anomalous,{'indices': [1]}
1674,1,Activity A,,Inity,Spain,Thursday,Brian,anomalous,"{'size': 1, 'start': 2, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana', 'day': 'Tuesday', 'country': 'Chile', 'company': 'Betasoloin'}}]}"
1674,2,Activity N,,Fasehatice,Uzbekistan,Monday,Marilyn,anomalous,"{'size': 1, 'start': 2, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana', 'day': 'Tuesday', 'country': 'Chile', 'company': 'Betasoloin'}}]}"
1674,3,Activity W,,Doncon,Angola,Thursday,Seth,anomalous,"{'size': 1, 'start': 2, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana', 'day': 'Tuesday', 'country': 'Chile', 'company': 'Betasoloin'}}]}"
1674,4,Activity S,,Scotfind,South Georgia And Sandwich Isl.,Thursday,Chan,anomalous,"{'size': 1, 'start': 2, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana', 'day': 'Tuesday', 'country': 'Chile', 'company': 'Betasoloin'}}]}"
1674,5,Activity O,,Hottechi,Kyrgyzstan,Monday,Sherell,anomalous,"{'size': 1, 'start': 2, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana', 'day': 'Tuesday', 'country': 'Chile', 'company': 'Betasoloin'}}]}"
1674,6,Activity B,,Xx-holding,Philippines,Tuesday,Jamika,anomalous,"{'size': 1, 'start': 2, 'skipped': [{'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana', 'day': 'Tuesday', 'country': 'Chile', 'company': 'Betasoloin'}}]}"
1675,1,Activity A,,Yearin,Lithuania,Thursday,Jamika,anomalous,"{'index': [4], 'attribute_index': [1], 'attribute': ['country'], 'original': ['New Caledonia']}"
1675,2,Activity C,,Sumace,Honduras,Monday,Marilyn,anomalous,"{'index': [4], 'attribute_index': [1], 'attribute': ['country'], 'original': ['New Caledonia']}"
1675,3,Activity K,,Donquadtech,United Arab Emirates,Thursday,Vickie,anomalous,"{'index': [4], 'attribute_index': [1], 'attribute': ['country'], 'original': ['New Caledonia']}"
1675,4,Activity D,,Ganjaflex,Panama,Monday,Brant,anomalous,"{'index': [4], 'attribute_index': [1], 'attribute': ['country'], 'original': ['New Caledonia']}"
1675,5,Activity B,,Sumace,Macedonia,Wednesday,Ryan,anomalous,"{'index': [4], 'attribute_index': [1], 'attribute': ['country'], 'original': ['New Caledonia']}"
1676,1,Activity A,,Zoomit,Spain,Tuesday,Wilton,normal,-
1676,2,Activity N,,Cancity,Turkmenistan,Wednesday,Hannah,normal,-
1676,3,Activity P,,Ron-tech,Mayotte,Monday,Lourdes,normal,-
1676,4,Activity Q,,Toughzap,Cook Islands,Tuesday,Lucy,normal,-
1676,5,Activity O,,Xx-zobam,"Virgin Islands, British",Tuesday,Alpha,normal,-
1676,6,Activity B,,Newex,American Samoa,Monday,Brian,normal,-
1677,1,Activity A,,Yearin,Lithuania,Thursday,Jamika,normal,-
1677,2,Activity C,,Faxquote,Burundi,Tuesday,Sherell,normal,-
1677,3,Activity M,,Scottech,Norway,Monday,Lannie,normal,-
1677,4,Activity D,,Ganjaflex,Panama,Monday,Brant,normal,-
1677,5,Activity B,,Sumace,New Caledonia,Friday,Alpha,normal,-
1678,1,Activity A,,Zoomit,Spain,Thursday,Brian,normal,-
1678,2,Activity N,,Cancity,Turkmenistan,Wednesday,Hannah,normal,-
1678,3,Activity P,,Ron-tech,Maldives,Wednesday,Lourdes,normal,-
1678,4,Activity Q,,Toughzap,Cook Islands,Tuesday,Lucy,normal,-
1678,5,Activity O,,Green-Plus,Liechtenstein,Tuesday,Rossie,normal,-
1678,6,Activity B,,Xx-holding,French Southern Territories,Friday,Anna,normal,-
1679,1,Activity A,,year-job,Mauritania,Friday,Wilton,normal,-
1679,2,Activity N,,Cancity,Turkmenistan,Wednesday,Hannah,normal,-
1679,3,Activity P,,Ron-tech,Mayotte,Monday,Lourdes,normal,-
1679,4,Activity Q,,Toughzap,Cook Islands,Tuesday,Steve,normal,-
1679,5,Activity O,,Xx-zobam,Singapore,Thursday,James,normal,-
1679,6,Activity B,,Zencorporation,American Samoa,Monday,Brian,normal,-
1680,1,Activity A,,Toughzap,Senegal,Thursday,Jamika,normal,-
1680,2,Activity C,,Faxquote,Burundi,Tuesday,Sherell,normal,-
1680,3,Activity M,,Singletechno,Saint Barthelemy,Tuesday,Deloras,normal,-
1680,4,Activity D,,Ganjaflex,Panama,Monday,Brant,normal,-
1680,5,Activity B,,Sumace,New Caledonia,Monday,Sigrid,normal,-
1681,1,Activity A,,Yearin,Lithuania,Thursday,Jamika,anomalous,"{'size': 1, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roy', 'day': 'Wednesday', 'country': 'Holy See (Vatican City State)', 'company': 'Ganjaflex'}}]}"
1681,2,Activity C,,Faxquote,Burundi,Tuesday,Brant,anomalous,"{'size': 1, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roy', 'day': 'Wednesday', 'country': 'Holy See (Vatican City State)', 'company': 'Ganjaflex'}}]}"
1681,3,Activity M,,Scottech,Western Sahara,Tuesday,Deloras,anomalous,"{'size': 1, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roy', 'day': 'Wednesday', 'country': 'Holy See (Vatican City State)', 'company': 'Ganjaflex'}}]}"
1681,4,Activity B,,Sumace,New Caledonia,Monday,Sigrid,anomalous,"{'size': 1, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Roy', 'day': 'Wednesday', 'country': 'Holy See (Vatican City State)', 'company': 'Ganjaflex'}}]}"
1682,1,Activity A,,Toughzap,Senegal,Thursday,Jamika,normal,-
1682,2,Activity C,,Sumace,Norfolk Island,Tuesday,Howard,normal,-
1682,3,Activity K,,Donquadtech,United Arab Emirates,Thursday,Vickie,normal,-
1682,4,Activity D,,year-job,Reunion,Thursday,Ling,normal,-
1682,5,Activity B,,Betatech,France,Wednesday,Sherell,normal,-
1683,1,Activity A,,Yearin,Lithuania,Thursday,Deloras,normal,-
1683,2,Activity C,,Nam-zim,Puerto Rico,Thursday,Lannie,normal,-
1683,3,Activity L,,Xx-holding,Eritrea,Friday,Johnny,normal,-
1683,4,Activity D,,year-job,Reunion,Thursday,Ling,normal,-
1683,5,Activity B,,Betatech,France,Wednesday,Sherell,normal,-
1684,1,Activity A,,Inity,Mauritania,Friday,Brian,anomalous,{'indices': [4]}
1684,2,Activity N,,Cancity,Turkmenistan,Wednesday,Hannah,anomalous,{'indices': [4]}
