case_id,event_position,activity_name,timestamp,org:group,org:resource,organization country,resource country,label,anomaly_type,anomaly_description,concept:name,impact,lifecycle:transition,org:role,organization involved,product,time:timestamp
1-109135791,1,Queued+Awaiting Assignment,2006-01-11T15:49:42+01:00,Org line A2,Minnie,se,INDIA,normal,-,-,Queued,High,Awaiting Assignment,A2_2,J11 2nd,PROD191,2006-01-11T15:49:42+01:00
1-109135791,2,Accepted+In Progress,2012-03-15T11:53:52+01:00,Org line A2,Minnie,se,INDIA,normal,-,-,Accepted,High,In Progress,A2_2,J11 2nd,PROD191,2012-03-15T11:53:52+01:00
1-109135791,3,Accepted+Assigned,2012-03-15T11:56:17+01:00,Org line A2,Minnie,se,INDIA,normal,-,-,Accepted,High,Assigned,A2_2,J11 2nd,PROD191,2012-03-15T11:56:17+01:00
1-109135791,4,Accepted+In Progress,2012-03-15T12:09:05+01:00,Org line A2,Minnie,se,INDIA,normal,-,-,Accepted,High,In Progress,A2_2,J11 2nd,PROD191,2012-03-15T12:09:05+01:00
1-109135791,5,Completed+Closed,2012-03-15T12:11:33+01:00,Org line A2,Minnie,se,INDIA,normal,-,-,Completed,High,Closed,A2_2,J11 2nd,PROD191,2012-03-15T12:11:33+01:00
1-147898401,1,Accepted+Wait,2009-12-02T14:24:32+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 4, 'shift_to': 0, 'size': 2}",Accepted,Medium,Wait,A2_2,M1 2nd,PROD753,2009-12-02T14:24:32+01:00
1-147898401,2,Accepted+In Progress,2011-09-03T07:09:09+02:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 4, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2011-09-03T07:09:09+02:00
1-147898401,3,Accepted+In Progress,2006-11-07T10:00:36+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 4, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2006-11-07T10:00:36+01:00
1-147898401,4,Accepted+In Progress,2006-11-07T13:05:44+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 4, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2006-11-07T13:05:44+01:00
1-147898401,5,Accepted+In Progress,2012-01-20T10:23:24+01:00,Org line A2,Carrie,cn,China,anomalous,Early,"{'shift_from': 4, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2012-01-20T10:23:24+01:00
1-147898401,6,Completed+Closed,2012-01-20T10:23:27+01:00,Org line A2,Carrie,cn,China,anomalous,Early,"{'shift_from': 4, 'shift_to': 0, 'size': 2}",Completed,Medium,Closed,A2_2,M1 2nd,PROD753,2012-01-20T10:23:27+01:00
1-165554831,1,Accepted+In Progress,2007-03-20T09:06:25+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Insert,{'indices': [2]},Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2007-03-20T09:06:25+01:00
1-165554831,2,Accepted+Wait,2009-12-02T14:24:31+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Insert,{'indices': [2]},Accepted,Medium,Wait,A2_2,M1 2nd,PROD753,2009-12-02T14:24:31+01:00
1-165554831,3,Random activity 4,,Random org:group 12,Random org:resource 130,Random organization country 14,Random resource country 20,anomalous,Insert,{'indices': [2]},,,,,,,
1-165554831,4,Accepted+In Progress,2011-09-03T07:10:53+02:00,Org line A2,Tomas,cn,Sweden,anomalous,Insert,{'indices': [2]},Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2011-09-03T07:10:53+02:00
1-165554831,5,Accepted+In Progress,2012-01-18T08:52:41+01:00,Org line A2,Carrie,cn,China,anomalous,Insert,{'indices': [2]},Accepted,Medium,In Progress,A2_2,M1 2nd,PROD753,2012-01-18T08:52:41+01:00
1-165554831,6,Completed+Closed,2012-01-18T08:52:43+01:00,Org line A2,Carrie,cn,China,anomalous,Insert,{'indices': [2]},Completed,Medium,Closed,A2_2,M1 2nd,PROD753,2012-01-18T08:52:43+01:00
1-172473423,1,Accepted+In Progress,2007-05-10T16:21:54+02:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,Low,In Progress,A2_2,M1 2nd,PROD753,2007-05-10T16:21:54+02:00
1-172473423,2,Accepted+Wait,2009-12-02T14:24:33+01:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,Low,Wait,A2_2,M1 2nd,PROD753,2009-12-02T14:24:33+01:00
1-172473423,3,Accepted+In Progress,2011-09-03T07:10:59+02:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,Low,In Progress,A2_2,M1 2nd,PROD753,2011-09-03T07:10:59+02:00
1-172473423,4,Accepted+In Progress,2012-01-18T08:20:53+01:00,Org line A2,Carrie,cn,China,normal,-,-,Accepted,Low,In Progress,A2_2,M1 2nd,PROD753,2012-01-18T08:20:53+01:00
1-172473423,5,Completed+Closed,2012-01-18T08:21:10+01:00,Org line A2,Carrie,cn,China,normal,-,-,Completed,Low,Closed,A2_2,M1 2nd,PROD753,2012-01-18T08:21:10+01:00
1-182640781,1,Accepted+In Progress,2007-07-25T14:21:05+02:00,Org line A2,Niklas,se,Sweden,normal,-,-,Accepted,Medium,In Progress,A2_2,G167 2nd,PROD681,2007-07-25T14:21:05+02:00
1-182640781,2,Accepted+Wait,2009-12-02T14:24:32+01:00,Org line A2,Niklas,se,Sweden,normal,-,-,Accepted,Medium,Wait,A2_2,G167 2nd,PROD681,2009-12-02T14:24:32+01:00
1-182640781,3,Queued+Awaiting Assignment,2010-08-25T11:13:01+02:00,Org line A2,Niklas,se,Sweden,normal,-,-,Queued,Medium,Awaiting Assignment,A2_2,G167 2nd,PROD681,2010-08-25T11:13:01+02:00
1-182640781,4,Accepted+In Progress,2011-09-05T09:24:13+02:00,Org line A2,Niklas,se,Sweden,normal,-,-,Accepted,Medium,In Progress,A2_2,M1 2nd,PROD681,2011-09-05T09:24:13+02:00
1-182640781,5,Accepted+Assigned,2011-11-14T16:10:25+01:00,Org line A2,Niklas,se,Sweden,normal,-,-,Accepted,Medium,Assigned,A2_2,G167 2nd,PROD681,2011-11-14T16:10:25+01:00
1-182640781,6,Accepted+In Progress,2012-01-03T11:30:35+01:00,Org line A2,Niklas,se,Sweden,normal,-,-,Accepted,Medium,In Progress,A2_2,G167 2nd,PROD681,2012-01-03T11:30:35+01:00
1-182640781,7,Completed+Closed,2012-01-03T11:31:53+01:00,Org line A2,Niklas,se,Sweden,normal,-,-,Completed,Medium,Closed,A2_2,G167 2nd,PROD681,2012-01-03T11:31:53+01:00
1-230541365,1,Accepted+In Progress,2008-05-07T18:58:51+02:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,High,In Progress,A2_2,M1 2nd,PROD753,2008-05-07T18:58:51+02:00
1-230541365,2,Accepted+In Progress,2008-10-06T16:44:37+02:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,High,In Progress,A2_2,M1 2nd,PROD753,2008-10-06T16:44:37+02:00
1-230541365,3,Accepted+Wait,2009-12-02T14:24:34+01:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,High,Wait,A2_2,M1 2nd,PROD753,2009-12-02T14:24:34+01:00
1-230541365,4,Accepted+In Progress,2011-09-02T00:27:50+02:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,High,In Progress,A2_2,M1 2nd,PROD753,2011-09-02T00:27:50+02:00
1-230541365,5,Accepted+In Progress,2011-09-02T00:27:55+02:00,Org line A2,Tomas,cn,Sweden,normal,-,-,Accepted,High,In Progress,A2_2,M1 2nd,PROD753,2011-09-02T00:27:55+02:00
1-230541365,6,Accepted+In Progress,2012-01-20T07:53:32+01:00,Org line A2,Carrie,cn,China,normal,-,-,Accepted,High,In Progress,A2_2,M1 2nd,PROD753,2012-01-20T07:53:32+01:00
1-230541365,7,Completed+Closed,2012-01-20T07:53:35+01:00,Org line A2,Carrie,cn,China,normal,-,-,Completed,High,Closed,A2_2,M1 2nd,PROD753,2012-01-20T07:53:35+01:00
1-236817141,1,Accepted+Wait,2009-12-02T14:24:34+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Accepted,Medium,Wait,A2_2,G167 2nd,PROD681,2009-12-02T14:24:34+01:00
1-236817141,2,Queued+Awaiting Assignment,2010-08-25T11:06:45+02:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Queued,Medium,Awaiting Assignment,A2_2,G167 2nd,PROD681,2010-08-25T11:06:45+02:00
1-236817141,3,Accepted+In Progress,2008-06-04T12:02:18+02:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,G167 2nd,PROD681,2008-06-04T12:02:18+02:00
1-236817141,4,Accepted+In Progress,2011-09-03T08:02:11+02:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,M1 2nd,PROD681,2011-09-03T08:02:11+02:00
1-236817141,5,Accepted+Assigned,2011-11-14T16:09:27+01:00,Org line A2,Niklas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Accepted,Medium,Assigned,A2_2,G167 2nd,PROD681,2011-11-14T16:09:27+01:00
1-236817141,6,Accepted+In Progress,2012-01-05T14:08:18+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Accepted,Medium,In Progress,A2_2,M1 2nd,PROD681,2012-01-05T14:08:18+01:00
1-236817141,7,Completed+Closed,2012-01-05T14:09:00+01:00,Org line A2,Tomas,cn,Sweden,anomalous,Early,"{'shift_from': 3, 'shift_to': 0, 'size': 2}",Completed,Medium,Closed,A2_2,M1 2nd,PROD681,2012-01-05T14:09:00+01:00
1-270399977,1,Accepted+In Progress,2008-11-13T09:43:32+01:00,Org line V7n,Juan,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Accepted,High,In Progress,,V32 2nd,PROD542,2008-11-13T09:43:32+01:00
1-270399977,2,Queued+Awaiting Assignment,2012-02-16T14:52:16+01:00,Org line V7n,Earl,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Queued,High,Awaiting Assignment,,V32 2nd,PROD542,2012-02-16T14:52:16+01:00
1-270399977,3,Accepted+In Progress,2012-02-16T15:09:17+01:00,Org line V7n,Juan,nl,Netherlands,anomalous,Late,"{'shift_from': 1, 'shift_to': 4, 'size': 2}",Accepted,High,In Progress,,V37 2nd,PROD542,2012-02-16T15:09:17+01:00
